date,cash,market_value,equity,daily_return,running_max,drawdown
2023-02-03,20006.586075598112,867603.3406489253,887609.9267245234,0.018531989468402177,1000000.0,-0.11239007327547657
2023-02-06,5278.3139504069695,881881.6757755067,887159.9897259136,-0.0005069084797982848,1000000.0,-0.11284001027408641
2023-02-07,5278.3139504069695,886644.5033428477,891922.8172932547,0.0053686230471376994,1000000.0,-0.10807718270674538
2023-02-08,5278.3139504069695,887242.0110599028,892520.3250103098,0.0006699096664759541,1000000.0,-0.10747967498969024
2023-02-09,5278.3139504069695,889601.0578749052,894879.3718253121,0.00264312951637824,1000000.0,-0.10512062817468781
2023-02-10,5278.3139504069695,896421.6899593124,901700.0039097194,0.00762184524434284,1000000.0,-0.09829999609028062
2023-02-13,12538.976171743212,882906.2653050624,895445.2414768056,-0.006936633476537057,1000000.0,-0.1045547585231944
2023-02-14,12538.976171743212,892055.0731945105,904594.0493662538,0.010217048978181653,1000000.0,-0.09540595063374624
2023-02-15,12538.976171743212,892921.6685928538,905460.6447645971,0.0009579936977812675,1000000.0,-0.09453935523540291
2023-02-16,12538.976171743212,888741.9948741831,901280.9710459263,-0.0046160744178531665,1000000.0,-0.0987190289540737
2023-02-17,12538.976171743212,889306.6615453138,901845.637717057,0.0006265156918550119,1000000.0,-0.09815436228294294
2023-02-20,12092.723226374806,897503.3715894154,909596.0948157902,0.008593995218907802,1000000.0,-0.09040390518420982
2023-02-21,12092.723226374806,903608.8792137258,915701.6024401006,0.0067123283170502646,1000000.0,-0.08429839755989932
2023-02-22,12092.723226374806,886095.1042017469,898187.8274281217,-0.019126072254661786,1000000.0,-0.10181217257187825
2023-02-23,12092.723226374806,887373.429411287,899466.1526376618,0.0014232270472875896,1000000.0,-0.10053384736233817
2023-02-24,12092.723226374806,881271.7464591983,893364.4696855731,-0.006783671552504367,1000000.0,-0.10663553031442685
2023-02-27,11147.16339842575,863974.566590564,875121.7299889898,-0.02042026554179399,1000000.0,-0.12487827001101026
2023-02-28,11147.16339842575,864658.4197309135,875805.5831293393,0.0007814377325061628,1000000.0,-0.12419441687066068
2023-03-01,11147.16339842575,866567.4739437783,877714.6373422041,0.0021797694027521075,1000000.0,-0.12228536265779588
2023-03-02,11147.16339842575,874536.9712079857,885684.1346064114,0.009079827229883763,1000000.0,-0.11431586539358851
2023-03-03,11147.16339842575,883076.2167878023,894223.3801862281,0.009641411927979737,1000000.0,-0.10577661981377195
2023-03-06,16733.6033616068,876008.8542176534,892742.4575792602,-0.0016560991803405978,1000000.0,-0.10725754242073982
2023-03-07,16733.6033616068,897717.6359339226,914451.2392955294,0.02431695897508246,1000000.0,-0.0855487607044706
2023-03-08,16733.6033616068,898502.234812521,915235.8381741279,0.000857999688647082,1000000.0,-0.0847641618258721
2023-03-09,16733.6033616068,906780.8172302695,923514.4205918764,0.009045299662067574,1000000.0,-0.07648557940812362
2023-03-10,16733.6033616068,898636.3965593195,915369.9999209263,-0.008818942605931746,1000000.0,-0.08463000007907373
2023-03-13,9086.46447586894,909935.6638677999,919022.1283436689,0.003989783828460602,1000000.0,-0.08097787165633108
2023-03-14,9086.46447586894,914745.8844610733,923832.3489369423,0.005234063952238799,1000000.0,-0.07616765106305767
2023-03-15,9086.46447586894,918652.9582422565,927739.4227181255,0.004229202176865954,1000000.0,-0.07226057728187452
2023-03-16,9086.46447586894,911744.2944695153,920830.7589453843,-0.007446771802043228,1000000.0,-0.07916924105461576
2023-03-17,9086.46447586894,920400.7469272106,929487.2114030796,0.009400698633926341,1000000.0,-0.07051278859692045
2023-03-20,14258.642154043657,913928.3043744062,928186.9465284499,-0.0013989056101878505,1000000.0,-0.07181305347155009
2023-03-21,14258.642154043657,913103.4358629987,927362.0780170424,-0.0008886879033287443,1000000.0,-0.0726379219829576
2023-03-22,14258.642154043657,900576.227954599,914834.8701086426,-0.013508432364612522,1000000.0,-0.08516512989135738
2023-03-23,14258.642154043657,907386.2629881252,921644.9051421689,0.007444004657056302,1000000.0,-0.0783550948578311
2023-03-24,14258.642154043657,911157.0798969897,925415.7220510334,0.004091398854185524,1000000.0,-0.0745842779489666
2023-03-27,8993.38549119998,915184.6669215092,924178.0524127092,-0.0013374201548911335,1000000.0,-0.07582194758729077
2023-03-28,8993.38549119998,917498.4622433446,926491.8477345447,0.0025036250490855227,1000000.0,-0.07350815226545537
2023-03-29,8993.38549119998,924259.341540577,933252.727031777,0.007297289570074472,1000000.0,-0.06674727296822291
2023-03-30,8993.38549119998,912567.6822313356,921561.0677225356,-0.012527859786091278,1000000.0,-0.07843893227746446
2023-03-31,8993.38549119998,913774.749896806,922768.135388006,0.0013098075729842673,1000000.0,-0.07723186461199405
2023-04-03,11526.940304250187,914796.5327204021,926323.4730246523,0.003852904646681754,1000000.0,-0.07367652697534766
2023-04-04,11526.940304250187,904009.8318595696,915536.7721638199,-0.011644637294585092,1000000.0,-0.0844632278361801
2023-04-05,11526.940304250187,896816.3184699819,908343.2587742321,-0.00785715397600717,1000000.0,-0.09165674122576783
2023-04-06,11526.940304250187,889748.610547928,901275.5508521782,-0.007780877827608279,1000000.0,-0.09872444914782175
2023-04-07,11526.940304250187,883750.9541101069,895277.8944143571,-0.006654631241411302,1000000.0,-0.10472210558564288
