model_type,horizon_days,market_regime,rows,symbols,direction_accuracy,baseline_accuracy,auc,brier,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,regime_source
ensemble,20,high_volatility,5319,20,0.4792254183117127,0.6627185561195713,0.5687850755473327,0.28922127338708004,0.11994086615293303,0.07674358221887963,0.11126073808701203,0.06421428505925283,0.0470464530277592,ok,ex_post_oos_forward_return_for_evaluation_only
ensemble,20,sideways_oos,6361,30,0.4404967772362836,0.6486401509196668,0.5366183887629167,0.29054451809702103,0.02978987842155994,0.02381866893009261,0.026703860275924276,0.02011768421993388,0.0065861760559903955,ok,ex_post_oos_forward_return_for_evaluation_only
ensemble,60,high_volatility,10,10,0.5,0.6,0.7083333333333334,0.22780668542321986,0.4787878787878787,0.03819761889944493,0.21578084053790111,-0.04082516030299505,0.2566060008408962,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,1,bearish_oos,15,3,0.4666666666666667,0.6666666666666666,0.48,0.2509272965774184,0.175,0.0037933413354602017,0.008897591382099567,-0.012271785452888867,0.021169376834988436,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,1,bullish_oos,12,3,0.4166666666666667,0.5833333333333334,0.3142857142857143,0.28431992478696216,-0.1328671328671329,0.0003619216061063164,0.002505325277271932,-0.007274538973754432,0.009779864251026364,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,1,high_volatility,42,3,0.4523809523809524,0.5952380952380952,0.46352941176470586,0.2713176258217445,-0.15501174945304272,0.0029660601140698377,-0.0004416107525681669,0.008822782282162689,-0.009264393034730856,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,1,sideways_oos,33,3,0.45454545454545453,0.5151515151515151,0.4117647058823529,0.26880391055489183,-0.15942513368983957,0.003497231741542955,0.0015879030740893003,0.013095617704042958,-0.011507714629953657,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,5,bearish_oos,6,3,0.6666666666666666,0.8333333333333334,0.4,0.22822496560765684,-0.08571428571428573,0.027899991880750888,0.03734611385069255,0.04661619332001685,-0.009270079469324295,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,5,bullish_oos,15,3,0.3333333333333333,0.6,0.25925925925925924,0.30105741761847166,-0.33571428571428563,0.013510766357200527,0.0017822751778642694,0.04659638545997007,-0.0448141102821058,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,5,high_volatility,24,3,0.2916666666666667,0.5416666666666666,0.3006993006993007,0.28959750634045067,-0.15391304347826085,0.006098431229236121,0.015722451239070723,0.0189813686372143,-0.003258917398143577,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,5,sideways_oos,45,3,0.5111111111111111,0.5777777777777777,0.6214574898785425,0.2374165870540864,0.07378129117259552,0.011401127357008146,0.029630488510564466,0.032221997962359084,-0.002591509451794618,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,20,bearish_oos,3,3,0.3333333333333333,0.6666666666666666,0.0,0.4239115855395308,-0.5,0.0489373401831029,0.0,0.0,0.0,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,20,bullish_oos,21,3,0.3333333333333333,0.5714285714285714,0.2222222222222222,0.36651200087886504,-0.5857142857142857,0.03322292775227097,-0.02734264871591472,0.17905672691755042,-0.20639937563346514,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,20,sideways_oos,21,3,0.5238095238095238,0.5714285714285714,0.49074074074074076,0.3302365963019679,-0.033766233766233764,0.029797545416587006,0.03039624643546256,0.029575777364895705,0.0008204690705668552,data_sparse,ex_post_oos_forward_return_for_evaluation_only
event_aware_ensemble,60,high_volatility,3,3,0.6666666666666666,0.6666666666666666,0.0,0.3365570074612089,-1.0,0.10667171771124334,0.0,0.0,0.0,data_sparse,ex_post_oos_forward_return_for_evaluation_only
factor_score,1,bearish_oos,50,10,0.38,0.62,0.4533106960950764,0.26030333207357015,0.07840863288528196,-0.002825701015169736,-0.0014313159493452101,-0.00461770577965105,0.00318638983030584,ok,ex_post_oos_forward_return_for_evaluation_only
factor_score,1,bullish_oos,40,10,0.725,0.575,0.7097186700767263,0.23134857016880828,0.14778674942070397,0.004738652156482908,0.006668063701778112,-0.0022313016356944,0.008899365337472513,data_sparse,ex_post_oos_forward_return_for_evaluation_only
factor_score,1,high_volatility,140,10,0.5714285714285714,0.5857142857142857,0.5353238015138773,0.24819720962459055,0.1599281583331415,0.0023775357669192825,0.0032551168071863036,-0.006393895373412085,0.009649012180598389,ok,ex_post_oos_forward_return_for_evaluation_only
factor_score,1,sideways_oos,110,10,0.509090909090909,0.509090909090909,0.49404761904761907,0.2541407635310016,0.026063675115346862,-0.0005764789427418607,-0.002623545450070232,-0.0012290182265728546,-0.0013945272234973775,ok,ex_post_oos_forward_return_for_evaluation_only
factor_score,5,bearish_oos,8140,220,0.5063882063882064,0.5243243243243243,0.5122318902635024,0.25201054704261444,0.03221818454749179,-0.002628027047146051,0.0004760299447965829,-0.0032777959849772994,0.003753825929773882,ok,ex_post_oos_forward_return_for_evaluation_only
factor_score,5,bullish_oos,4400,220,0.49454545454545457,0.5431818181818182,0.5013191365348987,0.25352676266298835,0.0095069317568445,0.005173981989074793,0.0074300580061303035,0.004630542169508708,0.0027995158366215956,ok,ex_post_oos_forward_return_for_evaluation_only
factor_score,5,high_volatility,12100,220,0.5152892561983471,0.5042148760330578,0.5218494865245393,0.25119038696151663,0.039720440152948976,0.0012334263401368763,0.004557056073573155,-0.0001380114621728671,0.004695067535746022,ok,ex_post_oos_forward_return_for_evaluation_only
factor_score,5,sideways_oos,33880,220,0.5084710743801653,0.5030696576151121,0.5121493175685655,0.2521431561138445,0.023435705821449646,0.0011571679651499955,0.0031124024021796826,-6.973920607952834e-06,0.0031193763227876353,ok,ex_post_oos_forward_return_for_evaluation_only
