date,holding_count,gross_weight,event_exposed_weight,risk_event_weight,weighted_event_impact,weighted_positive_events,weighted_negative_events,weighted_risk_events
2022-12-05,3,0.8974160743588158,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-06,3,0.8978474126746521,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-07,3,0.8995509773135876,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-08,3,0.8999355269786848,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-09,3,0.9015615397123301,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12,3,0.8951494420058204,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-13,3,0.89470797900683,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14,3,0.8962111557340642,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15,3,0.8972485341580985,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-16,3,0.8982731366531862,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-19,3,0.8961172290875247,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20,3,0.8967900238399654,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21,3,0.8971734432431171,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22,3,0.8961018818439216,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-23,3,0.8960924889582378,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-26,3,0.9001185695918599,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-27,3,0.9001152880527729,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-28,3,0.8995659434204071,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-29,3,0.8995707382169407,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-30,3,0.9000423943829119,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,3,0.8922797093853934,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,3,0.8921680568447103,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,3,0.8932490376328328,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,3,0.8927551036699688,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,3,0.8923600242093475,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,3,0.8957398221887488,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,3,0.8940549605226553,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,0.8945484450721344,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,3,0.8955039731154748,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,3,0.8959552952616592,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-16,3,0.8967614448147528,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,3,0.8975157842899463,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,3,0.8968896291943219,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,3,0.8980408643472959,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20,3,0.8997621697829674,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,3,0.8944860616539717,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,3,0.8951851893290259,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,0.8942856830529782,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,3,0.8934640668537546,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,3,0.8936410995825057,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-30,3,0.8969457164380747,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,3,0.895387537767216,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,3,0.8940787118109147,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-02,3,0.895688251666231,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-03,3,0.8962389845317007,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06,3,0.8950446077042927,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-07,3,0.8968457085574368,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-08,3,0.8980361973409288,0.0,0.0,0.0,0.0,0.0,0.0
