model_type,horizon_days,theme,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,theme_source
ensemble,5,high_dividend_state_owned_finance,180,2,0.5,0.65,0.5009496676163343,0.5009496676163343,0.2531464385751044,0.2531464385751044,0.15878155043611203,0.15878155043611203,,,0.0,0.0,0.008615540449198635,-0.016852656584720693,-0.013885183780510553,-0.008788497582267633,-0.00509668619824292,ok,curated_hot_theme_seed
ensemble,5,home_appliance_export,90,1,0.5666666666666667,0.6,0.4588477366255144,0.4588477366255144,0.24562055983861042,0.24562055983861042,0.07397336018114078,0.07397336018114078,,,0.0,0.0,-0.16980994230191382,0.0156832221534091,0.008323852091899255,0.032816698478817664,-0.02449284638691841,weak_or_failed,curated_hot_theme_seed
ensemble,5,metals_energy_metals,20699,19,0.5084786704671723,0.5213295328276728,0.5274462596430203,0.5274462596430203,0.25776478542137227,0.25776478542137227,0.08032464847931918,0.08032464847931918,,,0.0,0.0,0.0436607174919939,0.00798852139997138,0.01123001111298636,0.008809338516256034,0.0024206725967303253,ok,curated_hot_theme_seed
ensemble,5,power_solid_state_battery,180,2,0.5388888888888889,0.7666666666666667,0.5785024154589372,0.5785024154589372,0.24734914439500194,0.24734914439500194,0.2645846908547135,0.2645846908547135,,,0.0,0.0,0.03392191923669507,0.019547138502537722,0.018493801350622986,0.015328868537954057,0.003164932812668929,ok,curated_hot_theme_seed
ensemble,5,tourism_retail_services,90,1,0.2777777777777778,0.8,0.7380401234567902,0.7380401234567902,0.2752705555592748,0.2752705555592748,0.3540744596013214,0.3540744596013214,,,0.0,0.0,0.37450436657775643,0.023449781495211413,0.03700504260550429,0.00682650270989425,0.03017853989561004,ok,curated_hot_theme_seed
ensemble,5,unmapped_theme,1180,2,0.49491525423728816,0.5491525423728814,0.5247754803675856,0.5247754803675856,0.2594331462449198,0.2594331462449198,0.09937440993450952,0.09937440993450952,,,0.0,0.0,0.029343754093970803,0.008763537539959673,0.0030423567403604,-0.0012817970961893114,0.004324153836549711,ok,curated_hot_theme_seed
ensemble,20,agriculture_food_beverage,90,2,0.5222222222222223,0.9333333333333333,0.5178571428571429,0.5178571428571429,0.2491948920680665,0.2491948920680665,0.41762018119546823,0.41762018119546823,,,0.0,0.0,0.026782628834344038,0.06215736153252495,0.06886482623232339,0.06807204096712524,0.0007927852651981454,ok,curated_hot_theme_seed
ensemble,20,central_soe_high_dividend,45,1,0.2222222222222222,1.0,0.0,0.0,0.3587413691899038,0.3587413691899038,0.5865995005164604,0.5865995005164604,,,0.0,0.0,0.6751175429671084,-0.1086948367097172,-0.08720008118681331,-0.14860521084465417,0.061405129657840854,data_sparse,curated_hot_theme_seed
ensemble,20,high_dividend_state_owned_finance,90,2,0.5888888888888889,0.9666666666666667,0.34099616858237547,0.34099616858237547,0.23661468561411267,0.23661468561411267,0.4408359666487273,0.4408359666487273,,,0.0,0.0,-0.2273549226490821,-0.07537861528595748,-0.09675489359212391,-0.08179865465320207,-0.01495623893892184,weak_or_failed,curated_hot_theme_seed
ensemble,20,home_appliance_export,45,1,0.5777777777777777,0.5333333333333333,0.5178571428571429,0.5178571428571429,0.25732007938873946,0.25732007938873946,0.06841615705791178,0.06841615705791178,,,0.0,0.0,0.12000814120680994,0.02163794225532844,0.02894497984892121,0.012470684404206853,0.016474295444714356,data_sparse,curated_hot_theme_seed
ensemble,20,metals_energy_metals,20129,19,0.48348154404093596,0.5780714392170501,0.5192953728460261,0.5192953728460261,0.28130462959868757,0.28130462959868757,0.1713251161887307,0.1713251161887307,,,0.0,0.0,0.056159495516506126,0.03292272117070726,0.04749343181635835,0.030755886605555147,0.016737545210803204,ok,curated_hot_theme_seed
ensemble,20,power_solid_state_battery,90,2,0.6555555555555556,1.0,0.0,0.0,0.20714161063537337,0.20714161063537337,0.44371631634747144,0.44371631634747144,,,0.0,0.0,-0.11219272524719934,0.054911765453195455,0.04970594916331782,0.057417815028710364,-0.007711865865392548,weak_or_failed,curated_hot_theme_seed
ensemble,20,tourism_retail_services,45,1,0.0,1.0,0.0,0.0,0.43275787990229225,0.43275787990229225,0.6549602051455238,0.6549602051455238,,,0.0,0.0,0.1611884348369627,0.08790539132116774,0.08560708182995376,0.07186209327365416,0.013744988556299603,data_sparse,curated_hot_theme_seed
ensemble,20,unmapped_theme,1105,2,0.5936651583710407,0.5819004524886878,0.5990604781429043,0.5990604781429043,0.24626217544208642,0.24626217544208642,0.11107614651633654,0.11107614651633654,,,0.0,0.0,0.1440114787314689,0.036986807592775464,0.03567747249934823,-0.0036600043004810325,0.03933747679982926,ok,curated_hot_theme_seed
ensemble,60,agriculture_food_beverage,2,2,1.0,1.0,0.0,0.0,0.1092424151085015,0.1092424151085015,0.3289327666274293,0.3289327666274293,,,0.0,0.0,-0.9999999999999999,0.12349293806099365,0.0,0.0,0.0,data_sparse,curated_hot_theme_seed
ensemble,60,central_soe_high_dividend,1,1,1.0,1.0,0.0,0.0,0.06585839199087459,0.06585839199087459,0.2566288993680848,0.2566288993680848,,,0.0,0.0,0.0,-0.2465758613720381,0.0,0.0,0.0,data_sparse,curated_hot_theme_seed
ensemble,60,high_dividend_state_owned_finance,2,2,0.0,1.0,0.0,0.0,0.2817401193053619,0.2817401193053619,0.53004540553872,0.53004540553872,,,0.0,0.0,0.9999999999999999,-0.14942552617527274,0.0,0.0,0.0,data_sparse,curated_hot_theme_seed
ensemble,60,home_appliance_export,1,1,0.0,1.0,0.0,0.0,0.2796911328565513,0.2796911328565513,0.5288583296654703,0.5288583296654703,,,0.0,0.0,0.0,0.2045517069955622,0.0,0.0,0.0,data_sparse,curated_hot_theme_seed
ensemble,60,power_solid_state_battery,2,2,0.5,1.0,0.0,0.0,0.258260945346824,0.258260945346824,0.475211473471423,0.475211473471423,,,0.0,0.0,0.9999999999999999,0.2787579201027367,0.0,0.0,0.0,data_sparse,curated_hot_theme_seed
ensemble,60,tourism_retail_services,1,1,0.0,1.0,0.0,0.0,0.6078618689060847,0.6078618689060847,0.779654967858273,0.779654967858273,,,0.0,0.0,0.0,0.1060947647855887,0.0,0.0,0.0,data_sparse,curated_hot_theme_seed
ensemble,60,unmapped_theme,1,1,1.0,1.0,0.0,0.0,0.02616850095731325,0.02616850095731325,0.1617668104319092,0.1617668104319092,,,0.0,0.0,0.0,-0.1877450853915788,0.0,0.0,0.0,data_sparse,curated_hot_theme_seed
event_aware_ensemble,1,metals_energy_metals,102,3,0.45098039215686275,0.5196078431372549,0.4301116673084328,0.4301116673084328,0.2690354694012698,0.2690354694012698,0.09363925181606156,0.09363925181606156,,,0.0,0.0,-0.09472946152410787,0.002953199525166955,0.0033740565767823422,0.0077366082340409245,-0.004362551657258582,weak_or_failed,curated_hot_theme_seed
event_aware_ensemble,5,metals_energy_metals,90,3,0.43333333333333335,0.5888888888888889,0.4390617032126466,0.4390617032126466,0.26132552919475244,0.26132552919475244,0.06912829418395924,0.06912829418395924,,,0.0,0.0,-0.13268304728978886,0.011438605857883852,0.013073223461911553,0.03751569731110125,-0.024442473849189697,weak_or_failed,curated_hot_theme_seed
event_aware_ensemble,20,metals_energy_metals,45,3,0.4222222222222222,0.5111111111111111,0.3300395256916996,0.3300395256916996,0.3534101177203574,0.3534101177203574,0.2733843750894525,0.2733843750894525,,,0.0,0.0,-0.3694334650856389,0.03267204349100725,-0.004118909593706168,0.10091833517492714,-0.10503724476863331,data_sparse,curated_hot_theme_seed
event_aware_ensemble,60,metals_energy_metals,3,3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3365570074612089,0.3365570074612089,0.4018945087299289,0.4018945087299289,,,0.0,0.0,-1.0,0.10667171771124334,0.0,0.0,0.0,data_sparse,curated_hot_theme_seed
factor_score,1,agriculture_food_beverage,68,2,0.5147058823529411,0.5588235294117647,0.44649122807017544,0.44649122807017544,0.25380365887095585,0.25380365887095585,0.06507936507936504,0.06507936507936504,,,0.0,0.0,-0.0894215347330435,0.002616040460004354,0.0011108028769714192,0.002458322215792347,-0.0013475193388209276,weak_or_failed,curated_hot_theme_seed
factor_score,1,central_soe_high_dividend,34,1,0.6764705882352942,0.6764705882352942,0.6067193675889329,0.6067193675889329,0.22950249173743575,0.22950249173743575,0.11451447245564889,0.11451447245564889,,,0.0,0.0,0.005556816777292059,-0.007472719253592141,-0.00589575479719,-0.006277782180647259,0.00038202738345725906,data_sparse,curated_hot_theme_seed
factor_score,1,high_dividend_state_owned_finance,68,2,0.4852941176470588,0.6029411764705882,0.42005420054200543,0.42005420054200543,0.24946266914173082,0.24946266914173082,0.0773085901027078,0.0773085901027078,,,0.0,0.0,-0.08480665968662224,-0.0032110166971378003,-0.0028476023625839063,-0.0013715940136720369,-0.0014760083489118695,weak_or_failed,curated_hot_theme_seed
factor_score,1,home_appliance_export,34,1,0.5294117647058824,0.6470588235294118,0.3977272727272727,0.3977272727272727,0.2535152835208157,0.2535152835208157,0.18030812324929968,0.18030812324929968,,,0.0,0.0,-0.19681380762674272,0.003916813905839467,-0.0060483876981213104,0.009797684203764362,-0.015846071901885674,data_sparse,curated_hot_theme_seed
factor_score,1,metals_energy_metals,2370,3,0.5236286919831223,0.5198312236286919,0.5299040809805309,0.5164288424668477,0.25090522708567287,0.25251041575141414,0.02925966415324683,0.03782383419689116,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.8405063291139241,1.0,0.03889802090224399,0.0007639910213433565,0.0007201299891821182,-0.0004979826328841235,0.0012181126220662418,ok,curated_hot_theme_seed
factor_score,1,power_solid_state_battery,68,2,0.5882352941176471,0.5882352941176471,0.45,0.45,0.24768918641530682,0.24768918641530682,0.01342670401493933,0.01342670401493933,,,0.0,0.0,-0.04199705604725758,0.004444382657925335,0.006941782359614724,0.006915388255046796,2.6394104567927998e-05,ok,curated_hot_theme_seed
factor_score,1,tourism_retail_services,34,1,0.5882352941176471,0.6470588235294118,0.4393939393939394,0.4393939393939394,0.2457797092911239,0.2457797092911239,0.11430905695611572,0.11430905695611572,,,0.0,0.0,-0.05841591241798727,0.004866462115219987,0.0046563013102725705,0.015080875762880225,-0.010424574452607655,data_sparse,curated_hot_theme_seed
factor_score,1,unmapped_theme,34,1,0.4411764705882353,0.5294117647058824,0.3767361111111111,0.3767361111111111,0.26847392030886436,0.26847392030886436,0.0667086834733894,0.0667086834733894,,,0.0,0.0,-0.05004611751827512,0.00033484683706432966,-0.005016629069805389,0.0017344056140865646,-0.006751034683891953,data_sparse,curated_hot_theme_seed
factor_score,5,advanced_packaging_chiplet_pcb,2388,4,0.5590452261306532,0.5603015075376885,0.5499348708093103,0.5499348708093103,0.2477284324388586,0.2477284324388586,0.05760106900041629,0.05760106900041629,,,0.0,0.0,0.10294298958266965,0.01259154299564624,0.018289665289470097,-0.0017064384299717433,0.01999610371944184,ok,curated_hot_theme_seed
factor_score,5,agriculture_food_beverage,8955,15,0.4760469011725293,0.532216638749302,0.4694882596717599,0.4694882596717599,0.2559220524622734,0.2559220524622734,0.04022043304246296,0.04022043304246296,,,0.0,0.0,-0.05330038922690312,-0.001117243410138397,-0.003072730469607692,0.0016988766315860612,-0.004771607101193753,weak_or_failed,curated_hot_theme_seed
factor_score,5,ai_compute_semiconductor,3572,6,0.5025195968645016,0.5100783874580067,0.5036866865297162,0.5036866865297162,0.25312198736369623,0.25312198736369623,0.012680165567256815,0.012680165567256815,,,0.0,0.0,0.0216038748980961,0.0020388638247260276,0.0021044337502258243,-0.002155756836592582,0.004260190586818407,ok,curated_hot_theme_seed
factor_score,5,chemical_new_materials,5102,8,0.49059192473539787,0.5295962367698942,0.4887563224771774,0.4887563224771774,0.254470869432988,0.254470869432988,0.032637477567908885,0.032637477567908885,,,0.0,0.0,-0.02479018161937505,0.006069771235737789,0.006254666099863563,0.005546297081737385,0.000708369018126178,ok,curated_hot_theme_seed
factor_score,5,coal_power_oil_gas,4841,7,0.4957653377401363,0.52737037802107,0.4913228540945932,0.4913228540945932,0.2546124523055909,0.2546124523055909,0.028954010388045966,0.028954010388045966,,,0.0,0.0,-0.014430458017794724,0.005507750495377279,0.008420922109743927,0.00741011935605833,0.0010108027536855965,ok,curated_hot_theme_seed
factor_score,5,commercial_space_satellite_internet,2388,4,0.509212730318258,0.5020938023450586,0.5069177356235326,0.5069177356235326,0.2534358629989248,0.2534358629989248,0.016555174951297935,0.016555174951297935,,,0.0,0.0,0.020585289581454096,0.003382778621896014,0.01157973473458695,0.009028645881840299,0.002551088852746651,ok,curated_hot_theme_seed
factor_score,5,consumer_electronics_pcb,10204,16,0.5016660133281067,0.5183261466091729,0.4970166492693813,0.4970166492693813,0.254567159514778,0.254567159514778,0.02732864083249885,0.02732864083249885,,,0.0,0.0,0.004538241372571493,0.004535664352763089,0.008991640055686175,0.0016442292747932694,0.007347410780892905,ok,curated_hot_theme_seed
factor_score,5,cpo_optical_module_datacenter,597,1,0.5226130653266332,0.5661641541038526,0.5403577711270019,0.5403577711270019,0.2484626307070694,0.2484626307070694,0.05552933730899055,0.05552933730899055,,,0.0,0.0,0.11490276488667017,0.017471221318288033,0.05418370424730505,0.011685493787380387,0.04249821045992466,ok,curated_hot_theme_seed
factor_score,5,cxo_biotech_innovative_drug,597,1,0.5159128978224455,0.5661641541038526,0.49160974160974164,0.49160974160974164,0.2543245183121025,0.2543245183121025,0.06446050470432615,0.06446050470432615,,,0.0,0.0,-0.029741231236295206,0.010212219238464148,0.0074232056524050904,0.015701969487573058,-0.008278763835167968,weak_or_failed,curated_hot_theme_seed
factor_score,5,data_element_fintech_ai_app,3315,5,0.4708898944193062,0.5167420814479639,0.4535991204806018,0.4535991204806018,0.25866635477402744,0.25866635477402744,0.03264287844264667,0.03264287844264667,,,0.0,0.0,-0.08482732272311584,0.0005912682100044696,-0.00793960074061843,0.009640192674121218,-0.01757979341473965,weak_or_failed,curated_hot_theme_seed
factor_score,5,datacenter_optical_liquid_cooling,3582,6,0.4949748743718593,0.5189838079285315,0.4931740209431178,0.4931740209431178,0.2547073910700712,0.2547073910700712,0.03330804243298715,0.03330804243298715,,,0.0,0.0,0.00846038417512016,0.008182799415713852,0.016982829742421164,0.00420947981404856,0.012773349928372604,ok,curated_hot_theme_seed
factor_score,5,defense_ship_equipment,5373,9,0.5187046342825238,0.5125628140703518,0.5167431148777868,0.5167431148777868,0.2519749586635321,0.2519749586635321,0.017055267200255658,0.017055267200255658,,,0.0,0.0,0.024554917906465874,0.0026020002680451483,0.014838665260916966,0.0025535918321453405,0.012285073428771626,ok,curated_hot_theme_seed
factor_score,5,education_human_capital,4507,7,0.5123141779454182,0.5396050587974263,0.5097918318008877,0.5097918318008877,0.2513306164342685,0.2513306164342685,0.024029418625149422,0.024029418625149422,,,0.0,0.0,-0.024436494484556644,-0.0008592200183600601,-0.0037660712894986544,0.001573379197395857,-0.005339450486894512,weak_or_failed,curated_hot_theme_seed
factor_score,5,high_dividend_state_owned_finance,1194,2,0.4731993299832496,0.5326633165829145,0.4464788891143121,0.4464788891143121,0.25770500568391186,0.25770500568391186,0.03688886780909021,0.03688886780909021,,,0.0,0.0,-0.08124863065614561,0.003573036284880522,-0.002944835548612271,0.012246093400638553,-0.015190928949250823,weak_or_failed,curated_hot_theme_seed
factor_score,5,home_appliance_export,6898,11,0.47086111916497536,0.506378660481299,0.46954735987603485,0.46954735987603485,0.25703280674947676,0.25703280674947676,0.025131209414776923,0.025131209414776923,,,0.0,0.0,-0.060389142529505085,0.001685207335842715,-0.002501221305804261,0.005009613798107129,-0.00751083510391139,weak_or_failed,curated_hot_theme_seed
