model_type,horizon_days,industry,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,industry_source
ensemble,60,theme_proxy:power_solid_state_battery,2,2,0.5,1.0,0.0,0.0,0.258260945346824,0.258260945346824,0.475211473471423,0.475211473471423,,,0.0,0.0,0.9999999999999999,0.2787579201027367,0.0,0.0,0.0,data_sparse,curated_hot_theme_proxy_not_historical_industry
ensemble,60,theme_proxy:tourism_retail_services,1,1,0.0,1.0,0.0,0.0,0.6078618689060847,0.6078618689060847,0.779654967858273,0.779654967858273,,,0.0,0.0,0.0,0.1060947647855887,0.0,0.0,0.0,data_sparse,curated_hot_theme_proxy_not_historical_industry
ensemble,60,theme_proxy:unmapped_theme,1,1,1.0,1.0,0.0,0.0,0.02616850095731325,0.02616850095731325,0.1617668104319092,0.1617668104319092,,,0.0,0.0,0.0,-0.1877450853915788,0.0,0.0,0.0,data_sparse,curated_hot_theme_proxy_not_historical_industry
event_aware_ensemble,1,theme_proxy:metals_energy_metals,102,3,0.45098039215686275,0.5196078431372549,0.4301116673084328,0.4301116673084328,0.2690354694012698,0.2690354694012698,0.09363925181606156,0.09363925181606156,,,0.0,0.0,-0.09472946152410787,0.002953199525166955,0.0033740565767823422,0.0077366082340409245,-0.004362551657258582,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
event_aware_ensemble,5,theme_proxy:metals_energy_metals,90,3,0.43333333333333335,0.5888888888888889,0.4390617032126466,0.4390617032126466,0.26132552919475244,0.26132552919475244,0.06912829418395924,0.06912829418395924,,,0.0,0.0,-0.13268304728978886,0.011438605857883852,0.013073223461911553,0.03751569731110125,-0.024442473849189697,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
event_aware_ensemble,20,theme_proxy:metals_energy_metals,45,3,0.4222222222222222,0.5111111111111111,0.3300395256916996,0.3300395256916996,0.3534101177203574,0.3534101177203574,0.2733843750894525,0.2733843750894525,,,0.0,0.0,-0.3694334650856389,0.03267204349100725,-0.004118909593706168,0.10091833517492714,-0.10503724476863331,data_sparse,curated_hot_theme_proxy_not_historical_industry
event_aware_ensemble,60,theme_proxy:metals_energy_metals,3,3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3365570074612089,0.3365570074612089,0.4018945087299289,0.4018945087299289,,,0.0,0.0,-1.0,0.10667171771124334,0.0,0.0,0.0,data_sparse,curated_hot_theme_proxy_not_historical_industry
factor_score,1,theme_proxy:agriculture_food_beverage,68,2,0.5147058823529411,0.5588235294117647,0.44649122807017544,0.44649122807017544,0.25380365887095585,0.25380365887095585,0.06507936507936504,0.06507936507936504,,,0.0,0.0,-0.0894215347330435,0.002616040460004354,0.0011108028769714192,0.002458322215792347,-0.0013475193388209276,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,1,theme_proxy:central_soe_high_dividend,34,1,0.6764705882352942,0.6764705882352942,0.6067193675889329,0.6067193675889329,0.22950249173743575,0.22950249173743575,0.11451447245564889,0.11451447245564889,,,0.0,0.0,0.005556816777292059,-0.007472719253592141,-0.00589575479719,-0.006277782180647259,0.00038202738345725906,data_sparse,curated_hot_theme_proxy_not_historical_industry
factor_score,1,theme_proxy:high_dividend_state_owned_finance,68,2,0.4852941176470588,0.6029411764705882,0.42005420054200543,0.42005420054200543,0.24946266914173082,0.24946266914173082,0.0773085901027078,0.0773085901027078,,,0.0,0.0,-0.08480665968662224,-0.0032110166971378003,-0.0028476023625839063,-0.0013715940136720369,-0.0014760083489118695,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,1,theme_proxy:home_appliance_export,34,1,0.5294117647058824,0.6470588235294118,0.3977272727272727,0.3977272727272727,0.2535152835208157,0.2535152835208157,0.18030812324929968,0.18030812324929968,,,0.0,0.0,-0.19681380762674272,0.003916813905839467,-0.0060483876981213104,0.009797684203764362,-0.015846071901885674,data_sparse,curated_hot_theme_proxy_not_historical_industry
factor_score,1,theme_proxy:metals_energy_metals,2370,3,0.5236286919831223,0.5198312236286919,0.5299040809805309,0.5164288424668477,0.25090522708567287,0.25251041575141414,0.02925966415324683,0.03782383419689116,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.8405063291139241,1.0,0.03889802090224399,0.0007639910213433565,0.0007201299891821182,-0.0004979826328841235,0.0012181126220662418,ok,curated_hot_theme_proxy_not_historical_industry
