model_type,horizon_days,regime_source,market_regime,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status
event_aware_ensemble,5,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,33,3,0.48484848484848486,0.5151515151515151,0.5551470588235294,0.5551470588235294,0.25247273536940024,0.25247273536940024,0.08029340491247747,0.08029340491247747,,,0.0,0.0,-0.08455882352941177,0.0008010939841934718,0.015244644988823159,0.05486804262006809,-0.039623397631244936,data_sparse
event_aware_ensemble,20,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,3,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.4239115855395308,0.4239115855395308,0.6070417927576088,0.6070417927576088,,,0.0,0.0,-0.5,0.0489373401831029,0.0,0.0,0.0,data_sparse
event_aware_ensemble,20,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,21,3,0.3333333333333333,0.5714285714285714,0.2222222222222222,0.2222222222222222,0.36651200087886504,0.36651200087886504,0.3683283535011763,0.3683283535011763,,,0.0,0.0,-0.5857142857142857,0.03322292775227097,-0.02734264871591472,0.17905672691755042,-0.20639937563346514,data_sparse
event_aware_ensemble,20,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,21,3,0.5238095238095238,0.5714285714285714,0.49074074074074076,0.49074074074074076,0.3302365963019679,0.3302365963019679,0.3265642646437296,0.3265642646437296,,,0.0,0.0,-0.033766233766233764,0.029797545416587006,0.03039624643546256,0.029575777364895705,0.0008204690705668552,data_sparse
event_aware_ensemble,60,ex_post_oos_forward_return_for_evaluation_only,high_volatility,3,3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3365570074612089,0.3365570074612089,0.4018945087299289,0.4018945087299289,,,0.0,0.0,-1.0,0.10667171771124334,0.0,0.0,0.0,data_sparse
factor_score,1,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,50,10,0.38,0.62,0.4533106960950764,0.4533106960950764,0.26030333207357015,0.26030333207357015,0.13039682539682548,0.13039682539682548,,,0.0,0.0,0.07840863288528196,-0.002825701015169736,-0.0014313159493452101,-0.00461770577965105,0.00318638983030584,ok
factor_score,1,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,60,10,0.6833333333333333,0.55,0.6919191919191919,0.6919191919191919,0.23336841143864953,0.23336841143864953,0.039603174603174654,0.039603174603174654,,,0.0,0.0,0.17356063675298639,0.004920565398937001,0.007716365345820125,-0.005002609289813408,0.012718974635633533,ok
factor_score,1,ex_post_oos_forward_return_for_evaluation_only,high_volatility,110,10,0.5363636363636364,0.5727272727272728,0.5018574805808849,0.5018574805808849,0.2517140102842484,0.2517140102842484,0.06233044733044736,0.06233044733044736,,,0.0,0.0,0.07759877084316122,0.0018007028888286064,0.001885890421386068,-0.004986925658356,0.0068728160797420675,ok
factor_score,1,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,120,10,0.5416666666666666,0.525,0.506265664160401,0.506265664160401,0.2522199193751575,0.2522199193751575,0.018015873015872985,0.018015873015872985,,,0.0,0.0,0.09442373734504496,-0.00028602359817462924,-0.001971508046101612,-0.002257258690170979,0.00028575064406936683,ok
factor_score,1,pit_market_mean_return_and_breadth,bearish_pit,744,3,0.5147849462365591,0.521505376344086,0.5071853642997799,0.5118983841074946,0.2523674483876962,0.2527482689952498,0.028490299410604682,0.036307036603710444,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.8629032258064516,1.0,-0.012473922515058026,0.0011116718088129878,-0.0007952077113173656,2.658981429397378e-05,-0.0008217975256113394,weak_or_failed
factor_score,1,pit_market_mean_return_and_breadth,bullish_pit,726,3,0.5261707988980716,0.5275482093663911,0.5388752293158965,0.5135496197733103,0.24978553451511432,0.25175307755040216,0.023882864589475947,0.028865670363550724,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.8305785123966942,1.0,0.08355827615230767,0.0008872288956722035,0.0018201041022260463,-0.0017083876105471873,0.0035284917127732336,ok
factor_score,1,pit_market_mean_return_and_breadth,sideways_pit,900,3,0.5288888888888889,0.5122222222222222,0.5417014611199779,0.5228704559267513,0.25059967614958406,0.2529247098853263,0.03917911537028279,0.04630397236614848,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.83,1.0,0.04708708821420486,0.00037716301840985846,0.0008810364857905511,2.0410968443804025e-05,0.0008606255173467471,ok
factor_score,5,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,9680,220,0.5213842975206612,0.5089876033057851,0.5276313794272456,0.5276313794272456,0.250539236855036,0.250539236855036,0.010057504478992044,0.010057504478992044,,,0.0,0.0,0.04975273245334503,-0.0006115424074294209,0.0015813624131124878,-0.002684170151138841,0.004265532564251329,ok
factor_score,5,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,9020,220,0.49611973392461195,0.5178492239467849,0.5015378421151059,0.5015378421151059,0.2533358100923356,0.2533358100923356,0.02182253561586039,0.02182253561586039,,,0.0,0.0,0.01496186928793945,0.002693763123144731,0.0048885842148996455,0.0022298851773688436,0.002658699037530802,ok
factor_score,5,ex_post_oos_forward_return_for_evaluation_only,high_volatility,12980,220,0.5096302003081664,0.5034668721109399,0.5176718190468107,0.5176718190468107,0.25160121687480186,0.25160121687480186,0.0066173745968572594,0.0066173745968572594,,,0.0,0.0,0.025314575264119014,0.0006049759396332306,0.0039355080095294604,0.00010015438764970215,0.0038353536218797583,ok
factor_score,5,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,26840,220,0.5075633383010432,0.5010432190760059,0.5100430401370791,0.5100430401370791,0.2523399703871419,0.2523399703871419,0.0036284293790766007,0.0036284293790766007,,,0.0,0.0,0.023576192053512836,0.001090614359158356,0.0032583525340541377,-9.672230504868172e-05,0.0033550748391028193,ok
factor_score,5,pit_market_mean_return_and_breadth,bearish_pit,33574,222,0.49037946029665813,0.51516054089474,0.4915149495059193,0.4785254123145272,0.2544485973279057,0.2566705251367938,0.0252348869517295,0.03687788063113509,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6385388011003774,0.46556859474593437,-0.013636298297043378,0.004493665249440232,0.007194792315014918,0.0017301619692206777,0.00546463034579424,ok
factor_score,5,pit_market_mean_return_and_breadth,bullish_pit,33803,222,0.4917019199479336,0.5283850545809543,0.4919818378068626,0.4824448464859855,0.25488209468405876,0.2569604335602174,0.03892602136876453,0.05311835942851579,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6121867881548975,0.4675324675324675,-0.011958725313030705,0.007510868767949358,0.010377326254237202,0.008813336626618816,0.001563989627618386,ok
factor_score,5,pit_market_mean_return_and_breadth,high_volatility_pit,39211,197,0.47932977990869907,0.5140649307592258,0.47938524870102434,0.47995038178804833,0.2574671074864061,0.2583978658089095,0.05503768994842084,0.0615468998701168,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6017971892795569,0.4881538343832088,-0.05264245289909145,0.005739104576640187,0.0026763885214407877,0.010295255772174272,-0.007618867250733484,weak_or_failed
factor_score,5,pit_market_mean_return_and_breadth,sideways_pit,47886,222,0.48007768450068916,0.5139080315749907,0.4790477215822845,0.4789466704199332,0.25547956181682296,0.2558644427513728,0.022533219801736296,0.025541380815795305,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6255637741295328,0.46301633045148893,-0.03302836588289234,0.002716313812058246,0.005382987528536044,0.0027618513360667192,0.0026211361924693244,ok
