factor,coverage,missing_ratio
breakdown_low_20,0.9837008628954937,0.016299137104506256
breakdown_low_40,0.9712368168744008,0.028763183125599223
breakdown_low_60,0.9578139980824545,0.04218600191754551
breakdown_low_120,0.9194630872483222,0.08053691275167785
breakdown_low_240,0.8427612655800575,0.15723873441994252
amount_mean_5,0.9923298178331735,0.007670182166826467
amount_mean_10,0.9884947267497604,0.011505273250239645
amount_mean_20,0.9837008628954937,0.016299137104506256
amount_mean_40,0.9712368168744008,0.028763183125599223
amount_mean_60,0.9578139980824545,0.04218600191754551
amount_mean_120,0.9194630872483222,0.08053691275167785
amount_zscore_20,0.9837008628954937,0.016299137104506256
amount_zscore_60,0.9578139980824545,0.04218600191754551
amount_percentile_20,0.9837008628954937,0.016299137104506256
amount_percentile_60,0.9578139980824545,0.04218600191754551
turnover_mean_5,0.9923298178331735,0.007670182166826467
turnover_mean_10,0.9884947267497604,0.011505273250239645
turnover_mean_20,0.9837008628954937,0.016299137104506256
turnover_mean_40,0.9712368168744008,0.028763183125599223
turnover_mean_60,0.9578139980824545,0.04218600191754551
turnover_mean_120,0.9194630872483222,0.08053691275167785
turnover_zscore_20,0.9837008628954937,0.016299137104506256
turnover_zscore_60,0.9578139980824545,0.04218600191754551
turnover_percentile_20,0.9837008628954937,0.016299137104506256
turnover_percentile_60,0.9578139980824545,0.04218600191754551
volume_ratio_5_20,0.9817833173537871,0.0182166826462129
volume_ratio_10_60,0.9578139980824545,0.04218600191754551
amount_ratio_5_20,0.9817833173537871,0.0182166826462129
amount_ratio_10_60,0.9578139980824545,0.04218600191754551
intraday_return,0.9952061361457335,0.0047938638542665
overnight_return,0.9942473633748802,0.005752636625119822
gap_return,0.9942473633748802,0.005752636625119822
amplitude,0.9942473633748802,0.005752636625119822
atr_pct_5,0.9923298178331735,0.007670182166826467
atr_pct_10,0.9884947267497604,0.011505273250239645
atr_pct_20,0.9837008628954937,0.016299137104506256
atr_pct_60,0.9578139980824545,0.04218600191754551
amplitude_mean_5,0.9913710450623202,0.00862895493767979
amplitude_mean_10,0.987535953978907,0.012464046021092967
amplitude_mean_20,0.9827420901246404,0.01725790987535958
amplitude_mean_60,0.9568552253116012,0.043144774688398835
amplitude_zscore_20,0.9827420901246404,0.01725790987535958
amplitude_zscore_60,0.9568552253116012,0.043144774688398835
bollinger_zscore_20,0.9837008628954937,0.016299137104506256
bollinger_zscore_60,0.9578139980824545,0.04218600191754551
bollinger_width_20,0.9837008628954937,0.016299137104506256
bollinger_width_60,0.9578139980824545,0.04218600191754551
close_position,0.9952061361457335,0.0047938638542665
upper_shadow,0.9952061361457335,0.0047938638542665
lower_shadow,0.9952061361457335,0.0047938638542665
body_size,0.9952061361457335,0.0047938638542665
close_to_high_20,0.9837008628954937,0.016299137104506256
close_to_high_60,0.9578139980824545,0.04218600191754551
close_to_high_120,0.9194630872483222,0.08053691275167785
close_to_low_20,0.9837008628954937,0.016299137104506256
close_to_low_60,0.9578139980824545,0.04218600191754551
close_to_low_120,0.9194630872483222,0.08053691275167785
return_skew_20,0.9808245445829339,0.019175455417066112
return_skew_60,0.9568552253116012,0.043144774688398835
return_kurt_20,0.9808245445829339,0.019175455417066112
return_kurt_60,0.9568552253116012,0.043144774688398835
amihud_illiquidity_20,0.9808245445829339,0.019175455417066112
amihud_illiquidity_60,0.9568552253116012,0.043144774688398835
limit_up_count_20,0.9952061361457335,0.0047938638542665
limit_up_count_60,0.9952061361457335,0.0047938638542665
limit_down_count_20,0.9952061361457335,0.0047938638542665
limit_down_count_60,0.9952061361457335,0.0047938638542665
limit_up_near_5,0.9952061361457335,0.0047938638542665
limit_down_near_5,0.9952061361457335,0.0047938638542665
gap_up_count_20,0.9837008628954937,0.016299137104506256
gap_up_count_60,0.9578139980824545,0.04218600191754551
gap_down_count_20,0.9837008628954937,0.016299137104506256
gap_down_count_60,0.9578139980824545,0.04218600191754551
long_upper_shadow_count_20,0.9837008628954937,0.016299137104506256
long_upper_shadow_count_60,0.9578139980824545,0.04218600191754551
long_lower_shadow_count_20,0.9837008628954937,0.016299137104506256
long_lower_shadow_count_60,0.9578139980824545,0.04218600191754551
up_day_ratio_20,0.9817833173537871,0.0182166826462129
up_day_ratio_60,0.9578139980824545,0.04218600191754551
down_day_ratio_20,0.9817833173537871,0.0182166826462129
down_day_ratio_60,0.9578139980824545,0.04218600191754551
positive_body_ratio_20,0.9837008628954937,0.016299137104506256
positive_body_ratio_60,0.9578139980824545,0.04218600191754551
return_autocorr_20,0.9827420901246404,0.01725790987535958
return_autocorr_60,0.9568552253116012,0.043144774688398835
price_efficiency_20,0.9760306807286673,0.023969319271332723
price_efficiency_60,0.9376797698945349,0.06232023010546506
price_efficiency_120,0.8801534036433365,0.1198465963566635
trend_strength_20,0.9760306807286673,0.023969319271332723
trend_strength_60,0.9376797698945349,0.06232023010546506
trend_strength_120,0.8801534036433365,0.1198465963566635
volume_cv_20,0.9837008628954937,0.016299137104506256
volume_cv_60,0.9578139980824545,0.04218600191754551
amount_cv_20,0.9837008628954937,0.016299137104506256
amount_cv_60,0.9578139980824545,0.04218600191754551
turnover_cv_20,0.9837008628954937,0.016299137104506256
turnover_cv_60,0.9578139980824545,0.04218600191754551
amount_crowding_20,0.9827420901246404,0.01725790987535958
amount_crowding_60,0.9568552253116012,0.043144774688398835
turnover_crowding_20,0.9827420901246404,0.01725790987535958
turnover_crowding_60,0.9568552253116012,0.043144774688398835
up_streak,0.9952061361457335,0.0047938638542665
down_streak,0.9952061361457335,0.0047938638542665
new_high_distance_60,0.9578139980824545,0.04218600191754551
new_low_distance_60,0.9578139980824545,0.04218600191754551
