date,symbol,future_return_5d,future_return_20d,excess_return_5d,excess_return_20d
2020-01-06,000933,-0.020332717190388205,-0.15711645101663596,-0.0015306015254859598,-0.05564100031970616
2020-01-06,000960,-0.008450704225352212,-0.09483568075117366,0.010351411439550033,0.006639769945756144
2020-01-06,002460,0.03950000000000009,0.32824999999999993,0.058302115664902336,0.42972545069692974
2020-01-06,002466,-0.020501835985312078,-0.14534883720930225,-0.0016997203204098324,-0.04387338651237245
2020-01-06,600111,-0.01952085181898844,-0.15261756876663712,-0.0007187361540861928,-0.051142118069707324
2020-01-06,600219,0.048034934497816595,-0.06550218340611347,0.06683705016271885,0.03597326729081633
2020-01-06,600362,-0.008240141259564404,-0.16127133608004707,0.010561974405337841,-0.05979588538311727
2020-01-06,600489,-0.0712765957446807,-0.1606382978723403,-0.05247448007977846,-0.059162847175410496
2020-01-06,600497,-0.02460850111856827,-0.1476510067114094,-0.005806385453666026,-0.046175556014479605
2020-01-06,600547,-0.08177261936164604,-0.14059614877341065,-0.06297050369674378,-0.039120698076480845
2020-01-06,600988,-0.01899827288428324,0.14335060449050085,-0.0001961572193809949,0.24482605518743067
2020-01-06,601168,-0.02302158273381294,-0.12086330935251788,-0.004219467068910694,-0.019387858655588078
2020-01-06,601600,-0.030303030303030276,-0.1515151515151515,-0.01150091463812803,-0.05003970081822169
2020-01-06,601899,-0.0473251028806585,-0.12757201646090544,-0.028522987215756253,-0.026096565763975635
2020-01-06,601958,-0.008695652173913104,-0.16397515527950313,0.010106463490989141,-0.062499704582573326
2020-01-06,603993,-0.022271714922049046,-0.04677060133630295,-0.0034695992571468007,0.05470484936062685
2020-01-07,000630,-0.017094017094017033,-0.11111111111111116,-0.01913187406422105,-0.0400056633964771
2020-01-07,000807,0.01298701298701288,-0.1576994434137291,0.010949156016808865,-0.08659399569909504
2020-01-07,000831,-0.02257336343115135,-0.18359668924003025,-0.024611220401355365,-0.11249124152539619
2020-01-07,000878,-0.013919413919413981,-0.16263736263736261,-0.015957270889617996,-0.09153191492272855
