source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag,fetched_at,effective_date,announce_date,raw_hash
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224713845&orgId=gssz0000630&announcementTime=2025-10-16 00:00:00,2025-10-16 00:00:00,000630,000630,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年第二次临时股东大会的法律意见书,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年第二次临时股东大会的法律意见书,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,3289156997398574555
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224713844&orgId=gssz0000630&announcementTime=2025-10-16 00:00:00,2025-10-16 00:00:00,000630,000630,2025年第二次临时股东大会决议的公告,2025年第二次临时股东大会决议的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,332106389641221833
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224703916&orgId=gssz0000630&announcementTime=2025-10-10 11:44:11,2025-10-10 11:44:11,000630,000630,关于铜陵定02即将停止转股暨赎回前最后半个交易日的重要提示性公告,关于铜陵定02即将停止转股暨赎回前最后半个交易日的重要提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,13623162795827216507
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224702863&orgId=gssz0000630&announcementTime=2025-10-10 00:00:00,2025-10-10 00:00:00,000630,000630,股票交易异常波动公告,股票交易异常波动公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,8345896981103836572
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224701542&orgId=gssz0000630&announcementTime=2025-10-10 00:00:00,2025-10-10 00:00:00,000630,000630,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,16962317558266345411
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224701541&orgId=gssz0000630&announcementTime=2025-10-10 00:00:00,2025-10-10 00:00:00,000630,000630,关于2025年第三季度可转换公司债券转股情况的公告,关于2025年第三季度可转换公司债券转股情况的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,8270907504797719103
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224694716&orgId=gssz0000630&announcementTime=2025-10-09 00:00:00,2025-10-09 00:00:00,000630,000630,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,16517792367035006740
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224689110&orgId=gssz0000630&announcementTime=2025-09-30 00:00:00,2025-09-30 00:00:00,000630,000630,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,8944045551358875373
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687954&orgId=gssz0000630&announcementTime=2025-09-29 11:54:11,2025-09-29 11:54:11,000630,000630,关于召开2025年第二次临时股东大会通知的公告,关于召开2025年第二次临时股东大会通知的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,15314280937584009853
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687953&orgId=gssz0000630&announcementTime=2025-09-29 11:54:11,2025-09-29 11:54:11,000630,000630,董事会议事规则,董事会议事规则,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,2934373881236760616
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687952&orgId=gssz0000630&announcementTime=2025-09-29 11:54:11,2025-09-29 11:54:11,000630,000630,股东会议事规则,股东会议事规则,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,15710861149794964043
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687951&orgId=gssz0000630&announcementTime=2025-09-29 11:54:11,2025-09-29 11:54:11,000630,000630,公司章程,公司章程,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,9831521762801310449
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687949&orgId=gssz0000630&announcementTime=2025-09-29 11:54:11,2025-09-29 11:54:11,000630,000630,关于2025年半年度利润分配预案的公告,关于2025年半年度利润分配预案的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,16037117576557094286
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687948&orgId=gssz0000630&announcementTime=2025-09-29 11:54:11,2025-09-29 11:54:11,000630,000630,关于增补董事的公告,关于增补董事的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,4478744308082245179
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687947&orgId=gssz0000630&announcementTime=2025-09-29 11:54:11,2025-09-29 11:54:11,000630,000630,十届十五次监事会会议决议公告,十届十五次监事会会议决议公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,15645528574876421657
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687946&orgId=gssz0000630&announcementTime=2025-09-29 11:54:11,2025-09-29 11:54:11,000630,000630,十届二十五次董事会会议决议公告,十届二十五次董事会会议决议公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,12192155918563724356
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687955&orgId=gssz0000630&announcementTime=2025-09-29 11:54:09,2025-09-29 11:54:09,000630,000630,关于聘任总经理的公告,关于聘任总经理的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,4068356940697025640
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224687950&orgId=gssz0000630&announcementTime=2025-09-29 11:54:09,2025-09-29 11:54:09,000630,000630,关于修订《公司章程》及其附件的公告,关于修订《公司章程》及其附件的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,12322127978175908429
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224683627&orgId=gssz0000630&announcementTime=2025-09-27 00:00:00,2025-09-27 00:00:00,000630,000630,关于提前赎回铜陵定02实施暨即将停止转让的重要提示性公告,关于提前赎回铜陵定02实施暨即将停止转让的重要提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,15126327065679650762
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224680875&orgId=gssz0000630&announcementTime=2025-09-26 00:00:00,2025-09-26 00:00:00,000630,000630,关于提前赎回铜陵定02实施暨即将停止转让的重要提示性公告,关于提前赎回铜陵定02实施暨即将停止转让的重要提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,16681172072257551644
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224678352&orgId=gssz0000630&announcementTime=2025-09-25 00:00:00,2025-09-25 00:00:00,000630,000630,关于提前赎回铜陵定02实施暨即将停止转让的重要提示性公告,关于提前赎回铜陵定02实施暨即将停止转让的重要提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,13710933277428018199
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224677051&orgId=gssz0000630&announcementTime=2025-09-24 00:00:00,2025-09-24 00:00:00,000630,000630,关于控股股东因可转债转股持股比例被动稀释触及1%整数倍的公告,关于控股股东因可转债转股持股比例被动稀释触及1%整数倍的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,8758935395335669802
