date,symbol,open,high,low,close,volume,amount,turnover
2026-02-13,601899,38.26,39.04,37.69,37.78,338033354,12921954036.4,1.6409
2026-02-24,601899,39.49,39.65,38.98,39.32,246745985,9708527863.53,1.1977
2026-02-25,601899,39.4,40.26,38.86,39.63,289709530,11504589064.63,1.4063
2026-02-26,601899,39.89,39.96,38.94,39.37,199066355,7823516136.65,0.9663
2026-02-27,601899,39.2,40.05,39.01,39.55,242060189,9578332570.48,1.175
2026-03-02,601899,40.4,40.9,39.1,40.77,477513379,19141647925.83,2.3179
2026-03-03,601899,40.35,40.35,38.66,38.86,414093799,16292699000.87,2.0101
2026-03-04,601899,37.7,38.89,37.48,37.96,312570216,11903458655.3,1.5173
2026-03-05,601899,38.46,38.48,37.2,37.67,260659922,9848036257.87,1.2653
2026-03-06,601899,37.01,37.48,36.24,37.1,253947012,9355468297.73,1.2327
2026-03-09,601899,35.93,36.67,34.86,36.4,390629022,13905252661.7,1.8962
2026-03-10,601899,36.98,37.54,36.8,37.13,201312398,7475371505.04,0.9772
2026-03-11,601899,37.5,37.64,37.04,37.24,148131269,5525146811.22,0.7191
2026-03-12,601899,36.79,37.16,36.35,36.75,189113008,6945680401.68,0.918
2026-03-13,601899,36.2,36.94,35.6,35.77,247120530,8945230519.96,1.1996
2026-03-16,601899,35.04,35.17,33.6,34.75,420731337,14442170094.28,2.0423
2026-03-17,601899,34.73,35.55,34.67,34.9,225377550,7928547666.73,1.094
2026-03-18,601899,34.74,35.0,34.35,34.92,199024835,6908825841.51,0.9661
2026-03-19,601899,33.25,33.9,32.12,32.32,527935447,17350969312.3,2.5627
2026-03-20,601899,32.2,32.85,31.43,31.65,385034283,12363274178.98,1.869
2026-03-23,601899,30.21,31.34,29.8,30.58,493304305,15108766718.07,2.3946
2026-03-24,601899,31.25,32.38,30.91,32.2,457264529,14480403099.43,2.2196
2026-03-25,601899,33.5,33.98,33.09,33.24,410615187,13780664759.94,1.9932
2026-03-26,601899,33.1,33.24,31.83,32.09,305047347,9885918295.51,1.4807
2026-03-27,601899,31.5,32.72,31.5,32.47,228246664,7382514204.39,1.1079
2026-03-30,601899,32.2,32.8,31.88,32.78,236900973,7676270898.79,1.1499
2026-03-31,601899,32.98,33.5,32.6,32.72,253105884,8352940020.62,1.2286
2026-04-01,601899,33.86,34.58,33.62,34.15,323703092,11014637163.36,1.5712
2026-04-02,601899,33.99,33.99,32.7,33.12,258942623,8604391359.51,1.2569
2026-04-03,601899,33.25,33.33,32.82,32.91,141999112,4683625567.17,0.6893
2026-04-07,601899,32.8,33.1,32.33,32.41,150649750,4901834797.04,0.7312
2026-04-08,601899,34.0,34.76,34.0,34.62,407954111,14077391635.33,1.9802
2026-04-09,601899,33.99,34.19,33.74,33.9,220659003,7488451266.89,1.0711
2026-04-10,601899,34.23,34.58,33.7,33.75,237571039,8070605534.01,1.1532
2026-04-13,601899,33.38,33.8,33.31,33.66,176532051,5921734291.22,0.8569
2026-04-14,601899,34.49,34.95,34.35,34.8,298845659,10362404695.01,1.4506
2026-04-15,601899,35.75,36.0,34.81,34.91,299179203,10597722636.31,1.4522
2026-04-16,601899,35.0,35.39,35.0,35.3,200941248,7078128969.16,0.9754
2026-04-17,601899,35.0,35.1,34.5,34.73,215582788,7492782654.25,1.0464
2026-04-20,601899,34.86,35.29,34.7,34.82,225640293,7890139008.77,1.0952
2026-04-21,601899,34.98,35.68,34.5,35.66,311979120,10987224051.73,1.5143
2026-04-22,601899,35.67,35.86,35.24,35.53,372392006,13254782856.97,1.8076
2026-04-23,601899,35.56,35.56,34.14,34.4,356644945,12339162918.76,1.7311
2026-04-24,601899,34.02,34.42,33.53,34.31,257793364,8744204171.23,1.2513
2026-04-27,601899,34.0,34.25,33.48,33.56,231088530,7790164441.39,1.1217
2026-04-28,601899,33.33,33.46,32.88,32.95,207009177,6855447844.15,1.0048
2026-04-29,601899,32.55,34.2,32.51,34.14,303499456,10185682534.56,1.4732
2026-04-30,601899,33.7,34.02,33.08,33.3,240389930,8043586831.8,1.1668
2026-05-06,601899,33.5,34.38,33.21,34.21,399072032,13470799257.77,1.9371
2026-05-07,601899,34.84,35.17,34.12,34.46,336041354,11621995193.77,1.6311
2026-05-08,601899,34.02,35.0,33.84,34.8,301248207,10371098900.21,1.4622
2026-05-11,601899,34.55,34.72,33.85,34.27,303709653,10395756358.93,1.4742
2026-05-12,601899,34.96,35.33,34.5,34.58,416946021,14588128304.63,2.0238
2026-05-13,601899,35.1,35.25,34.45,34.66,322480278,11214811350.38,1.5653
2026-05-14,601899,34.49,34.76,33.5,33.52,276948107,9403243412.41,1.3443
2026-05-15,601899,32.99,33.0,31.5,31.84,448282207,14440316753.23,2.1759
2026-05-18,601899,30.9,31.37,30.71,31.3,288798694,8937256918.78,1.4018
2026-05-19,601899,31.3,31.39,30.64,31.16,180860114,5597109994.71,0.8779
2026-05-20,601899,30.53,30.64,29.92,30.39,314489728,9501730628.4,1.5265
2026-05-21,601899,30.91,31.25,29.93,29.99,295615483,9083222840.2,1.4349
2026-05-22,601899,30.16,31.14,29.88,30.96,268103856,8208476891.95,1.3014
2026-05-25,601899,31.64,32.0,31.09,31.35,284046195,8946274059.03,1.3787
2026-05-26,601899,31.16,32.98,31.02,32.9,443721556,14319468464.91,2.1538
2026-05-27,601899,32.58,32.89,31.53,31.62,261696590,8367170296.42,1.2703
2026-05-28,601899,31.0,31.2,30.08,30.71,310990946,9528322163.49,1.5095
2026-05-29,601899,31.32,31.38,30.18,30.44,261024987,7984251977.19,1.267
2026-06-01,601899,30.22,30.7,30.12,30.19,175162167,5318626880.32,0.8502
2026-06-02,601899,30.36,31.74,30.12,31.58,333321356,10347790078.09,1.6179
2026-06-03,601899,31.01,31.82,30.95,31.27,252980267,7954143963.7,1.228
2026-06-04,601899,30.9,30.95,30.22,30.34,206216550,6275998577.78,1.001
2026-06-05,601899,30.3,30.85,29.53,29.63,271621254,8155837776.72,1.3184
2026-06-08,601899,28.28,28.73,27.58,28.05,377532024,10652472481.68,1.8325
2026-06-09,601899,28.14,28.53,27.6,28.47,251316131,7048918829.66,1.2199
2026-06-10,601899,27.6,28.0,27.2,27.7,304408769,8386456563.0,1.4776
