factor,ic_mean,rank_ic_mean,ic_ir,observations
max_drawdown_120,0.07092670561366077,0.08397004455398614,0.2145131052654701,959
ma_bias_5,0.009020301903704652,0.010686575903967207,0.02666009694357501,1035
ma_bias_10,0.02851668798557878,0.02081533080563148,0.08377845510710319,1031
ma_bias_20,0.0595574611864514,0.052111760883690704,0.18138722389823977,1026
ma_bias_40,0.08601893233627295,0.07290077477639176,0.2618387521205593,1013
ma_bias_60,0.0960838113036424,0.08212454879121545,0.2903861379156583,999
ma_bias_120,0.09280204635539488,0.08220052453629094,0.27608931481244964,959
ma_slope_5,0.042928484481857834,0.0356928508384819,0.12943537378695166,1030
ma_slope_10,0.0709836375375699,0.06116997595939808,0.22306257092370274,1021
ma_slope_20,0.07834257731874489,0.07618531236821495,0.22828502242401338,1006
ma_slope_60,0.05247278490509621,0.04304385710136509,0.15703355914360975,939
price_position_20,0.050884396391895945,0.040628507295173956,0.15233053232326055,1026
price_position_40,0.0815998592181985,0.06568548266475216,0.24655370996816908,1013
price_position_60,0.0929466099843917,0.07512360845694177,0.2790290311125142,999
price_position_120,0.095780549906604,0.08372989540872751,0.28653247757319883,959
breakout_high_20,0.054941507840071534,0.047268001653966565,0.16407271360207465,1026
breakout_high_40,0.08271655054009756,0.06926321457417212,0.24395975048896007,1013
breakout_high_60,0.09302327868379778,0.07583947583947583,0.26710137114599236,999
breakout_high_120,0.08463482272268186,0.08619458400480298,0.24498844869643147,959
breakdown_low_20,0.056025370864748195,0.040392226357138634,0.16759294211202494,1026
breakdown_low_40,0.07953817986902112,0.06856920637769601,0.2460630786384155,1013
breakdown_low_60,0.07659030159087281,0.06783146783146782,0.23475818771785723,999
breakdown_low_120,0.07742553082972109,0.07162132271621321,0.23734217786467074,959
amount_mean_5,0.019614599646853855,0.023569023569023566,0.05688661030266474,1035
amount_mean_10,0.023667264659223045,0.020897628075125647,0.06952710297192449,1031
amount_mean_20,0.033563980352219976,0.016634178037686805,0.09923425200349052,1026
amount_mean_40,0.029511237764055558,0.01078704119177959,0.0870944408233645,1013
amount_mean_60,0.026051303942053773,0.007468074134740802,0.07717810717439456,999
amount_zscore_20,0.0030380227539111835,0.0062260027172307865,0.009313584675531884,1026
amount_zscore_60,0.015951232624516955,0.01859435192768526,0.04860282542881382,999
amount_percentile_20,0.004204675077560772,0.00949254299772311,0.012915817425082748,1026
amount_percentile_60,0.01484095368465814,0.016442621884733447,0.04526030794692557,999
turnover_mean_5,0.006447772258439276,0.009316351925047575,0.019444443429550786,1035
turnover_mean_10,-0.007196401082089521,-0.012491549833935866,-0.021299420111759827,1031
turnover_mean_20,0.0003595236929239253,-0.004229428790832299,0.0010654299222794808,1026
turnover_mean_40,-0.011673859539046342,-0.010966526070178586,-0.0357456416304882,1013
turnover_mean_60,-0.002966044163371341,-0.018824885491552153,-0.009298552390715911,999
turnover_zscore_20,-0.00919963111849013,-0.009817472975367711,-0.028035969521618843,1026
turnover_zscore_60,-0.008151814446859397,-0.010064610064610065,-0.02498012138221871,999
turnover_percentile_20,-0.013992909811668732,-0.00900096190202318,-0.042243665376849676,1026
turnover_percentile_60,-0.0090530828575121,-0.009208826389823257,-0.027666443503800514,999
volume_ratio_5_20,-0.0004385131334732698,0.0028527462121212123,-0.0013344269314080372,1024
volume_ratio_10_60,-0.002045338905191319,-0.0093002093002093,-0.005924738898886694,999
amount_ratio_5_20,0.011787536534567955,0.013316761363636362,0.035901060243923096,1024
amount_ratio_10_60,0.034128708594234246,0.023471956805290135,0.09703004153747735,999
intraday_return,-0.000677475804829333,-0.002837624802942722,-0.0020772158267207096,1038
overnight_return,0.007007719991890457,0.010268548552058675,0.020940901548955403,1037
gap_return,0.007007719991890457,0.010268548552058675,0.020940901548955403,1037
amplitude,-0.002114688997145316,-0.008480172993191315,-0.0064476306961691035,1037
close_position,-0.002065779411641704,-0.0007590354411163666,-0.006255761560120443,1038
upper_shadow,-0.004629003647933499,-0.007018158463245167,-0.013805675026093145,1038
lower_shadow,-0.006489140259788372,-0.004811116949845273,-0.019318666748784474,1038
body_size,0.009040381936231467,0.0031062065744146663,0.027276482401587712,1038
return_skew_20,-0.00898902298635067,-0.002825913089842708,-0.027043013919220926,1023
return_skew_60,0.014500986703377768,0.012594886743183337,0.0441665881675345,998
return_kurt_20,-0.027448692906397166,-0.02590716549660831,-0.08301175369409813,1023
return_kurt_60,-0.045919987373629546,-0.06352098135665268,-0.14556818798789997,998
amihud_illiquidity_20,-0.03826144279778364,-0.030314878995230898,-0.11256500218354747,1023
amihud_illiquidity_60,-0.0404886142332504,-0.024776826380032792,-0.11883542002935395,998
limit_up_count_20,0.0,0.0,0.0,0
limit_up_count_60,0.0,0.0,0.0,0
limit_down_count_20,0.0,0.0,0.0,0
limit_down_count_60,0.0,0.0,0.0,0
up_day_ratio_20,0.05871570706115572,0.04852290305880776,0.18365709269822578,1024
up_day_ratio_60,0.08576019799887552,0.07259880545558212,0.2594187947167206,999
down_day_ratio_20,-0.05871570706115572,-0.04852290305880776,-0.18365709269822578,1024
down_day_ratio_60,-0.08576019799887552,-0.07259880545558212,-0.2594187947167205,999
up_streak,0.00876227391882681,0.005949289074871776,0.02656839380212296,1037
down_streak,0.0057811897465787875,0.003063281573636003,0.01729077145623945,1035
new_high_distance_60,0.09302327868379778,0.07583947583947583,0.26710137114599236,999
new_low_distance_60,0.07659030159087281,0.06783146783146782,0.23475818771785723,999
