model_type,horizon_days,industry,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,industry_source
factor_score,5,theme_proxy:media_game_ai_application,4302,13,0.4630404463040446,0.50418410041841,0.4659148851274955,0.4638768332794046,0.2566918066357129,0.25875025761828935,0.015214133361945393,0.034914898782243305,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6192468619246861,1.0,-0.06747108967453117,0.0055056175456226104,0.006813163277973125,0.012234130889337084,-0.005420967611363959,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:metals_energy_metals,6270,19,0.48963317384370014,0.5430622009569378,0.48852385748296445,0.45603472975016207,0.253883590330102,0.2579173783769143,0.036394592324368355,0.04826218613937171,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6181818181818182,1.0,-0.005425820568454273,0.010305711380247355,0.014490418516658147,0.01277519566205143,0.0017152228546067159,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:power_solid_state_battery,4293,13,0.5080363382250175,0.5338923829489868,0.4976185554692113,0.4679499255607798,0.25356417998269687,0.2580884720007636,0.03970778160603432,0.058434995692876836,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6184486373165619,1.0,-0.0007498497363162162,0.011164984926192976,0.006316805231241105,0.010565628234524402,-0.004248823003283297,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:rare_earth_magnetic_materials,993,3,0.4612286002014099,0.5417925478348439,0.458866783773847,0.4206156297234364,0.25553075110809703,0.2616991032656599,0.0382662957924034,0.050525068864917394,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.05077299671313084,0.006682958509347619,0.007648547501871591,0.014032242721875922,-0.006383695220004332,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:real_estate_chain,3972,12,0.47608257804632426,0.5614300100704934,0.4795297400544707,0.4497383297379951,0.2555319454747775,0.2556671937769829,0.06924100672691236,0.06937471444019325,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.06490906904109679,-0.0018923791781991026,-0.0006425322853528259,0.003170045954591554,-0.00381257823994438,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:renewable_grid_storage,2973,9,0.501849983181971,0.508577194752775,0.511972212263109,0.46731871697648564,0.2527454216411064,0.2606504582259297,0.014128467920694951,0.044669723344212424,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6185671039354188,1.0,0.04109078397666739,0.005464049237472216,0.016596648573492852,0.001178104215130837,0.015418544358362015,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:robotics_highend_manufacturing,1324,4,0.513595166163142,0.5052870090634441,0.5350517463686258,0.5105649311379636,0.24968498783633036,0.25252819362208706,0.014630088180267188,0.016200725788537877,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,0.07185725941689429,0.00018158715499939264,0.008003811219459273,-0.0012031390822940544,0.009206950301753327,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:shipbuilding_ocean_shipping,331,1,0.46827794561933533,0.5015105740181269,0.44886820007301936,0.4251369112814896,0.25758998840613095,0.2624503569792909,0.006214002311790615,0.04852018205203325,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.07576611824901211,0.0018572365628449243,-0.004079919598165239,0.007478144917730653,-0.011558064515895892,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:shipping_ports_logistics,1985,6,0.49319899244332494,0.5073047858942066,0.46832296623025327,0.4772274040814503,0.2558644890844497,0.25803795370195687,0.01671906786810526,0.03796925157561859,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6191435768261965,1.0,-0.06827584048586574,0.0030924998388264656,-0.003909393862472644,0.0039038658144330152,-0.00781325967690566,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:smart_ev_autonomous_driving,3310,10,0.49214501510574016,0.511178247734139,0.5042801213885163,0.46120659425435484,0.25338897192355697,0.25807810028140166,0.025431144839342012,0.03192340362341581,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.001125923871328012,0.0032637802453844445,0.004808631004021683,0.0037938971382326945,0.0010147338657889885,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:tourism_retail_services,2978,9,0.4469442578912021,0.5127602417730021,0.4505279876083021,0.4098327508928422,0.258377126233327,0.2633164926603047,0.0301097236373553,0.047279874068279236,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.619543317662861,1.0,-0.09633507075364839,0.0011764255250701924,0.002431046153183979,0.006709694963243011,-0.0042786488100590315,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:xinchuang_software_cybersecurity,1986,6,0.472809667673716,0.5433031218529708,0.48629493804239093,0.45877037111213065,0.2550595519251015,0.257261397445473,0.05354108524145844,0.06982420082170375,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.07373955093178816,0.0010706929414865058,-0.006092975715251301,0.00964979750686996,-0.01574277322212126,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
