date,symbol,open,high,low,close,volume,amount,turnover
2026-05-21,000630,5.98354488,6.06292856,5.72554792,5.73547088,270976649,1616788035.79,2.4318
2026-05-22,000630,5.76523976,6.31100256,5.705702,6.31100256,491018528,3024948636.99,4.4065
2026-05-25,000630,6.449924,6.7972276,6.4003092,6.68807504,686901301,4627137789.78,6.1644
2026-05-26,000630,6.6483832,6.82699648,6.449924,6.77738168,510606746,3429983131.92,4.5823
2026-05-27,000630,6.71784392,6.77738168,6.38046328,6.41023216,355112452,2333203571.44,3.1869
2026-05-28,000630,6.39038624,6.78730464,6.24154184,6.697998,511720216,3373533670.61,4.5923
2026-05-29,000630,6.80715056,7.17430008,6.7972276,6.8468424,748483944,5243963020.85,6.7171
2026-06-01,000630,6.8468424,6.9956868,6.7476128,6.76745872,414954415,2866898963.54,3.7239
2026-06-02,000630,6.95599496,7.0949164,6.80715056,7.02545568,548267434,3846267411.3,4.9203
2026-06-03,000630,6.8964572,7.2437608,6.85676536,7.01553272,651955324,4645585808.73,5.8508
2026-06-04,000630,6.7972276,6.81707352,6.60869136,6.63846024,481077498,3235531025.39,4.3173
2026-06-05,000630,6.5987684,6.75753576,6.4003092,6.44000104,338879499,2233556242.94,3.0412
2026-06-08,000630,6.04,6.23,5.9,5.93,441117472,2664349783.02,3.9587
2026-06-09,000630,6.13,6.33,6.01,6.25,444140632,2732789325.17,3.9858
2026-06-10,000630,6.12,6.43,6.06,6.35,442797255,2793851761.48,3.9738
