date,symbol,score,future_return_1d,direction_up_1d,score_percentile,prob_up,predicted_direction,horizon_days,future_return_5d,direction_up_5d,future_return_20d,direction_up_20d,future_return_60d,direction_up_60d
2025-11-24,000630,0.22543378995433788,0.024640657084188833,1.0,0.1506849315068493,0.48684102988310674,0,1,,,,,,
2025-11-25,000630,0.3219178082191781,0.01002004008016022,1.0,0.3926940639269406,0.48169998951399,0,1,,,,,,
2025-11-26,000630,0.3193150684931506,0.005952380952381153,1.0,0.4063926940639269,0.4812957074159946,0,1,,,,,,
2025-11-27,000630,0.32054794520547947,0.00591715976331364,1.0,0.4018264840182648,0.48120787213127597,0,1,,,,,,
2025-11-28,000630,0.37831050228310503,0.06274509803921569,1.0,0.5570776255707762,0.4781452776521339,0,1,,,,,,
2025-12-01,000630,0.4574770642201834,-0.0018450184501844769,0.0,0.7660550458715596,0.4732974680154716,0,1,,,,,,
2025-12-02,000630,0.47431192660550453,0.02402957486136792,1.0,0.8211009174311926,0.4716838734801518,0,1,,,,,,
2025-12-03,000630,0.5009633027522937,0.016245487364620725,1.0,0.8761467889908257,0.46997707464331356,0,1,,,,,,
2025-12-04,000630,0.5015596330275229,0.03730017761989357,1.0,0.8577981651376146,0.47026312491648875,0,1,,,,,,
2025-12-05,000630,0.5223502304147467,-0.013698630136986245,0.0,0.8894009216589862,0.46992171105875274,0,1,,,,,,
2025-12-08,000630,0.5221559633027523,-0.05034722222222232,0.0,0.8944954128440367,0.4697919887785354,0,1,,,,,,
2025-12-09,000630,0.5121559633027524,0.001828153564899404,1.0,0.8761467889908257,0.4698541606570631,0,1,,,,,,
2025-12-10,000630,0.550045871559633,-0.02372262773722622,0.0,0.9403669724770642,0.4685832374335127,0,1,,,,,,
2025-12-11,000630,0.5592201834862386,0.01869158878504673,1.0,0.926605504587156,0.4683462986808977,0,1,,,,,,
2025-12-12,000630,0.562672811059908,-0.011009174311926717,0.0,0.9539170506912442,0.4682292559742467,0,1,,,,,,
2025-12-15,000630,0.5737155963302752,-0.027829313543599188,0.0,0.9587155963302753,0.467712072735845,0,1,,,,,,
2025-12-16,000630,0.5304587155963303,0.03625954198473291,1.0,0.8990825688073395,0.4686161357186867,0,1,,,,,,
2025-12-17,000630,0.5214220183486238,-0.005524861878453136,0.0,0.8853211009174312,0.4697112143396581,0,1,,,,,,
2025-12-18,000630,0.5159633027522935,0.011111111111111294,1.0,0.8715596330275229,0.4698803948878512,0,1,,,,,,
2025-12-19,000630,0.5633789954337898,0.016483516483516425,1.0,0.9360730593607306,0.46869165001844637,0,1,,,,,,
2025-12-22,000630,0.5166210045662102,-0.00540540540540535,0.0,0.8858447488584474,0.4704070983827239,0,1,,,,,,
2025-12-23,000630,0.4695890410958904,0.007246376811594235,1.0,0.7899543378995434,0.4728293986335373,0,1,,,,,,
2025-12-24,000630,0.4672602739726028,-0.007194244604316502,0.0,0.776255707762557,0.4737042001619756,0,1,,,,,,
2025-12-25,000630,0.4623744292237444,0.07427536231884058,1.0,0.7488584474885844,0.47424607586541545,0,1,,,,,,
2025-12-26,000630,0.47488584474885853,-0.033726812816188945,0.0,0.8082191780821918,0.4730135789064493,0,1,,,,,,
2025-12-29,000630,0.44073059360730593,0.01221640488656206,1.0,0.6712328767123288,0.47599938204301867,0,1,,,,,,
2025-12-30,000630,0.4234862385321101,0.036206896551724155,1.0,0.6192660550458715,0.4772964406621898,0,1,,,,,,
