factor,ic_mean,rank_ic_mean,ic_ir,observations
turnover_zscore_20,-0.03265681792073182,-0.03469748636133004,-0.10440738823890447,1541
turnover_zscore_60,-0.024888562451017796,-0.030298656690758204,-0.07698700316046099,1514
turnover_percentile_20,-0.03555090204135209,-0.03800478866899136,-0.11526882527370638,1540
turnover_percentile_60,-0.018602560262307156,-0.030768880284089088,-0.059105019303918795,1513
volume_ratio_5_20,-0.03843676652716838,-0.040503190959017464,-0.11783215095595063,1539
volume_ratio_10_60,0.005970940888021396,0.0064485451856106995,0.018805900534681314,1514
amount_ratio_5_20,-0.03896982729723903,-0.041039944386876547,-0.11738657203287083,1539
amount_ratio_10_60,0.004621527518634841,0.0044157490348131195,0.014009316196604234,1514
intraday_return,-0.00317969675607532,-0.005330007077745254,-0.009134304079209562,1553
overnight_return,0.0011355453736095827,0.0017192379824796512,0.0033773689091308717,1552
gap_return,0.0011355453736095827,0.0017192379824796512,0.0033773689091308717,1552
amplitude,-0.01554528326738195,-0.03449864819296844,-0.045740694831625135,1552
close_position,-0.0049145524480242505,-0.007500637682226478,-0.015704474556471965,1553
upper_shadow,0.01369841207498705,0.012433965868157225,0.04784976690950253,1553
lower_shadow,-0.0012173239124204877,-0.0012987968315260807,-0.004162135036861971,1553
body_size,-0.011840259705650018,-0.006994523116979722,-0.04153161875164653,1553
return_skew_20,-0.02162888386771593,-0.028089145438104292,-0.07680941344802265,1538
return_skew_60,-0.045134013487689195,-0.05279122517625074,-0.15595309188187315,1513
return_kurt_20,0.005317274471892841,0.008494658189574981,0.019369356406756588,1538
return_kurt_60,-0.015225358674176494,-0.0005474613370929029,-0.05409215399725688,1513
amihud_illiquidity_20,0.01688989897493665,0.028686115871672586,0.06433780009314063,1538
amihud_illiquidity_60,0.01746843543569096,0.025683323963068445,0.06674886449218655,1513
limit_up_count_20,-0.01768283745882497,-0.04028184966809516,-0.051244888344773885,1167
limit_up_count_60,-0.027192875393424864,-0.050524570468939274,-0.0789141604385972,1407
limit_down_count_20,-0.00832567738114241,-0.015773680689697853,-0.026670745511160714,566
limit_down_count_60,-0.015627312083694004,-0.02652427708051843,-0.04941727772715372,930
up_day_ratio_20,0.01280407761024909,0.011981083406201487,0.042988155974961695,1539
up_day_ratio_60,0.004185941395820184,0.003931048040585883,0.014369835370024881,1514
down_day_ratio_20,-0.010133871581249825,-0.013857664345332145,-0.033537359065520744,1539
down_day_ratio_60,-0.0018693444836533225,-0.00722204032763183,-0.0062380019810543376,1514
up_streak,-0.0012846699520346896,-0.008468134194884284,-0.004161309378992507,1454
down_streak,0.007949553189229774,0.010457799419531863,0.026370526167633645,1441
new_high_distance_60,0.021715772656664686,0.013355921150054795,0.06044785081105342,1514
new_low_distance_60,-0.01889686714854578,-0.031117049180984173,-0.05221195594744992,1514
