date,symbol,side,price,shares,gross_value,fee,tax,cost_basis,realized_pnl,slippage_rate,close
2020-03-02,002466,SELL,29.658439651680002,100,2965.843965168,0.8897531895504,2.965843965168,2520.3914253792,441.59694263408164,0.0008,30.19839732
2020-03-02,600547,BUY,22.9427134992,400,9177.08539968,2.7531256199039995,0.0,0.0,0.0,0.0008,23.85524252
2020-03-02,600489,BUY,7.0581940416,300,2117.45821248,0.6352374637439999,0.0,0.0,0.0,0.0008,7.25531287
2020-03-02,600219,BUY,1.6679252135519997,89600,149446.0991342592,44.83382974027775,0.0,0.0,0.0,0.0008,1.72188172
2020-03-09,600547,SELL,25.8560540956,500,12928.0270478,3.8784081143399995,12.9280270478,11325.357663696,1585.86294894186,0.0008,24.32762356
2020-03-09,600489,SELL,7.733983679344,900,6960.5853114096,2.08817559342288,6.9605853114096,6384.1365106272,567.400039877567,0.0008,7.25531287
2020-03-09,002460,SELL,35.28452897664,4100,144666.568804224,43.399970641267196,144.666568804224,118302.7471004448,26175.755164333706,0.0008,33.7964862
2020-03-09,002466,SELL,31.159783025352002,5000,155798.91512676002,46.739674538028005,155.79891512676002,142455.62311176962,13140.753425325616,0.0008,29.30424453
2020-03-09,600988,BUY,8.367993813816,900,7531.1944324343995,2.2593583297303197,0.0,0.0,0.0,0.0008,7.50650628
2020-03-09,000630,BUY,1.867403668752,83800,156488.4274414176,46.94652823242527,0.0,0.0,0.0,0.0008,1.8310341
2020-03-09,600219,BUY,1.7153543665439999,1600,2744.5669864703996,0.8233700959411198,0.0,0.0,0.0,0.0008,1.68238902
2020-03-09,000933,BUY,3.6707249325599993,42600,156372.88212705596,46.91186463811678,0.0,0.0,0.0,0.0008,3.55853736
2020-03-16,000630,SELL,1.8034325688239998,5800,10459.9088991792,3.1379726697537595,10.459908899179199,10830.9412787616,-384.6302611513347,0.0008,1.77871884
2020-03-16,600219,SELL,1.673150887616,7100,11879.3713020736,3.5638113906220794,11.879371302073599,11842.269016219198,21.659103161706298,0.0008,1.63499778
2020-03-16,000933,SELL,3.423131891928,42600,145825.4185961328,43.74762557883984,145.8254185961328,156372.88212705596,-10737.036575098115,0.0008,3.28540401
2020-03-16,600547,BUY,21.705197437728,400,8682.078975091199,2.6046236925273596,0.0,0.0,0.0,0.0008,22.00739904
2020-03-16,600489,BUY,6.811157250143999,500,3405.578625072,1.0216735875215999,0.0,0.0,0.0,0.0008,6.76163423
2020-03-16,600988,BUY,6.824192369903999,1900,12965.965502817598,3.8897896508452794,0.0,0.0,0.0,0.0008,6.81873738
2020-03-16,601600,BUY,2.891346898536,48700,140808.5939587032,42.24257818761095,0.0,0.0,0.0,0.0008,2.81423863
2020-03-23,600547,SELL,20.150369138128,6400,128962.36248401919,38.68870874520575,128.9623624840192,148636.8027226656,-19842.09130987563,0.0008,20.84034
2020-03-23,600489,SELL,6.597669448552001,200,1319.5338897104002,0.39586016691312004,1.3195338897104003,1418.6970023616,-100.87850670782314,0.0008,6.62058319
2020-03-23,600988,SELL,6.9507261270719995,20600,143184.9582176832,42.955487465304955,143.1849582176832,138278.39366249996,4720.424109500222,0.0008,7.35912723
2020-03-23,600219,SELL,1.6336897817759999,1000,1633.6897817759998,0.4901069345327999,1.6336897817759999,1667.9252135519998,-36.35922849230883,0.0008,1.62709924
2020-03-23,600362,BUY,10.663795276847999,12700,135430.20001596957,40.629060004790865,0.0,0.0,0.0,0.0008,10.66401923
2020-03-23,000630,BUY,1.7190585174959998,1100,1890.9643692455998,0.5672893107736798,0.0,0.0,0.0,0.0008,1.71768437
2020-03-23,601600,BUY,2.722918923864,1200,3267.5027086368,0.9802508125910399,0.0,0.0,0.0,0.0008,2.7113927
2020-03-23,600111,BUY,8.257266793007998,16400,135419.17540533116,40.62575262159935,0.0,0.0,0.0,0.0008,8.17310418
