date,symbol,shares,close,market_value,weight
2025-12-30,000807,25800,31.1995572,804948.57576,0.17350427438780472
2025-12-30,600219,150400,5.16920535,777448.48464,0.1675767114365079
2025-12-30,601168,27900,26.8623586,749459.8049400001,0.1615438346681551
2025-12-30,600497,105300,7.19960525,758118.432825,0.16341017618812426
2025-12-31,601899,22900,34.47,789363.0,0.164390172523686
2025-12-31,600362,15500,54.92,851260.0,0.1772806405449875
2025-12-31,000807,25800,32.37262112,835213.6248959999,0.17393887462521881
2025-12-31,600219,150400,5.2373493,787697.33472,0.16404328648678548
2025-12-31,601168,27900,27.55011472,768648.200688,0.16007617575326072
2025-12-31,600497,105300,7.25918819,764392.516407,0.15918990077817333
2026-01-05,601899,23100,35.4,817740.0,0.16815237333211608
2026-01-05,600362,14800,54.3,803640.0,0.1652529817602438
2026-01-05,000878,40000,20.06943732,802777.4927999999,0.16507562388036015
2026-01-05,000807,24300,33.29924304,809171.605872,0.1663904492385556
2026-01-05,600219,151400,5.3541675,810620.9595,0.16668848070619288
2026-01-05,600497,110300,7.37835407,813832.453921,0.16734886225636042
2026-01-06,601899,23100,37.6,868560.0,0.17091741131027746
2026-01-06,600362,14800,56.97,843156.0,0.1659183485893068
2026-01-06,000878,40000,20.9673325,838693.3,0.16504016731057605
2026-01-06,000807,24300,34.4033032,836000.2677600001,0.16451022568416462
2026-01-06,600219,151400,5.51965995,835676.5164300001,0.16444651708690955
2026-01-06,600497,110300,7.7457822,854359.77666,0.1681230558100235
2026-01-07,601899,23100,36.72,848232.0,0.16915792903317678
2026-01-07,600362,14800,55.28,818144.0,0.16315765579572497
2026-01-07,000878,40000,20.44438256,817775.3024,0.16308412859744018
2026-01-07,000807,24300,33.29924304,809171.605872,0.16136834389855306
2026-01-07,600219,151400,5.67541755,859258.2170699999,0.1713568227846875
2026-01-07,600497,110300,7.76564318,856550.442754,0.17081682724622188
2026-01-08,601899,23100,36.3,838529.9999999999,0.1680947562308156
2026-01-08,600362,14800,55.03,814444.0,0.16326638956704043
2026-01-08,000878,40000,20.54305236,821722.0944000001,0.16472538269071266
2026-01-08,000807,24300,32.66835152,793840.941936,0.1591362260393462
2026-01-08,600219,151400,5.5878039,845993.51046,0.16959091852840766
2026-01-08,600497,110300,7.87487857,868599.106271,0.17412251801477355
2026-01-09,601899,23100,37.22,859782.0,0.1661669883644676
2026-01-09,600362,14800,56.5,836200.0,0.16160937966876232
2026-01-09,000878,40000,21.88496164,875398.4656,0.1691851267503018
2026-01-09,000807,24300,33.05280104,803183.0652719999,0.15522831492353859
2026-01-09,600219,151400,5.69488725,862205.92965,0.16663545256812368
2026-01-09,600497,110300,8.45084699,932128.422997,0.18014912247329212
2026-01-12,601899,4600,37.26,171396.0,0.03337765522036386
2026-01-12,603993,30700,22.36728013,686675.499991,0.1337231795781148
2026-01-12,600362,15300,56.02,857106.0,0.1669128133404816
2026-01-12,000878,7800,21.87509466,170625.73834799998,0.03322765447443091
2026-01-12,601600,49000,13.85,678650.0,0.1321602937950707
2026-01-12,000807,5200,32.76692832,170388.027264,0.03318136262045643
2026-01-12,600219,152500,5.6072736,855109.224,0.1665239612034405
2026-01-12,600497,101700,8.51042993,865510.7238810001,0.1685495491798383
2026-01-12,601958,37200,18.2,677040.0,0.13184676241216334
2026-01-13,601899,4600,38.24,175904.0,0.03412007938264764
2026-01-13,603993,30700,22.4757156,690004.46892,0.1338400903557169
2026-01-13,600362,15300,57.21,875313.0,0.16978436558954574
2026-01-13,000878,7800,21.78629184,169933.076352,0.03296189998446745
2026-01-13,601600,49000,13.97,684530.0,0.1327782082260994
2026-01-13,000807,5200,32.73735528,170234.247456,0.03302031811012827
2026-01-13,600219,152500,5.6267433,858078.35325,0.1664413630697515
2026-01-13,600497,101700,8.43098601,857431.277217,0.16631584980335293
2026-01-13,601958,37200,18.05,671460.0,0.13024302177478955
2026-01-14,601899,4600,38.5,177100.0,0.033869616063403794
2026-01-14,603993,30700,22.9686041,705136.14587,0.13485426613803045
2026-01-14,600362,15300,59.8,914940.0,0.17497835415613025
2026-01-14,000878,7800,22.56578326,176013.109428,0.033661752899222123
2026-01-14,601600,49000,13.63,667870.0,0.12772727543910498
2026-01-14,000807,5200,32.22475592,167568.73078399998,0.032046801670728126
2026-01-14,600219,152500,5.75329635,877377.693375,0.16779472398196538
2026-01-14,600497,101700,8.51042993,865510.7238810001,0.16552521692043007
2026-01-14,601958,37200,18.14,674808.0,0.12905413820730313
2026-01-15,601899,4600,38.25,175950.0,0.03277826231523288
2026-01-15,603993,30700,23.70793685,727833.661295,0.13559035334915526
2026-01-15,600362,15300,62.0,948600.0,0.176717588134299
2026-01-15,000878,7800,22.63485212,176551.846536,0.032890382142629994
2026-01-15,601600,49000,13.74,673260.0,0.12542365948481776
2026-01-15,000807,5200,32.68806688,169977.94777600002,0.03166571048597149
2026-01-15,600219,152500,5.77276605,880346.822625,0.1640024954838536
2026-01-15,600497,101700,8.96723247,911967.5421990001,0.16989321580663277
2026-01-15,601958,37200,18.84,700848.0,0.13056311217451738
2026-01-16,601899,4600,37.47,172362.0,0.03208121912257706
2026-01-16,603993,30700,23.90509225,733886.3320749999,0.13659604918927853
2026-01-16,600362,15300,64.11,980883.0,0.18256879391403416
2026-01-16,000878,7800,22.42764554,174935.635212,0.032560242081104765
2026-01-16,601600,49000,13.26,649740.0,0.12093414623120653
2026-01-16,000807,5200,31.99802928,166389.752256,0.030969622665529797
2026-01-16,600219,152500,5.8019706,884800.5164999999,0.16468525109714355
2026-01-16,600497,101700,8.90764953,905907.9572010001,0.16861391536331352
2026-01-16,601958,37200,18.85,701220.0,0.13051596333956142
2026-01-19,603993,37200,22.97846187,854798.7815640001,0.16087635665774444
2026-01-19,600362,14100,60.5,853050.0,0.1605472293675864
2026-01-19,000878,39900,21.58895224,861399.1943760001,0.16211857925858722
2026-01-19,600219,154400,5.9771979,922879.3557600001,0.17368937765407783
2026-01-19,600497,100700,8.95730198,902000.309386,0.16975986233002527
2026-01-19,601958,47200,19.45,918040.0,0.17277859263656178
2026-01-20,603993,37200,22.74187539,845997.764508,0.15784002573023093
2026-01-20,600362,14100,60.9,858690.0,0.1602080494540247
2026-01-20,000878,39900,21.4113466,854312.7293400001,0.15939137056598487
2026-01-20,600219,154400,6.425001,992020.1544,0.18508380667703644
2026-01-20,600497,100700,8.92751051,899000.3083569999,0.16772884959699272
2026-01-20,601958,47200,19.25,908600.0,0.16951988928941392
2026-01-21,603993,37200,22.89959971,851865.109212,0.1567497962099962
2026-01-21,600362,14100,62.19,876879.0,0.16135254638844296
2026-01-21,000878,39900,22.01323238,878327.971962,0.16161916848306965
2026-01-21,600219,154400,6.35685705,981498.72852,0.18060338897809283
2026-01-21,600497,100700,9.15591178,922000.316246,0.16965521901795091
2026-01-21,601958,47200,19.55,922760.0,0.1697950067288641
2026-01-22,603993,37200,22.3771379,832429.52988,0.1547867536306165
2026-01-22,600362,14100,60.3,850230.0,0.15809667583312506
2026-01-22,000878,39900,21.96389748,876359.509452,0.16295534770486733
2026-01-22,600219,154400,6.31791765,975486.48516,0.18138758997440116
2026-01-22,600497,100700,9.28500815,935000.320705,0.1738593587692346
2026-01-22,601958,47200,19.22,907184.0,0.16868703147265768
2026-01-23,603993,37200,22.43628452,834629.784144,0.14982505824321402
2026-01-23,600362,14100,59.61,840501.0,0.1508790048843417
2026-01-23,000878,39900,23.19726998,925571.0722020001,0.16615000139627548
2026-01-23,600219,154400,6.6002283,1019075.2495200001,0.1829350108445318
2026-01-23,600497,100700,10.01986441,1009000.346087,0.1811264568936419
2026-01-23,601958,47200,19.93,940696.0,0.1688650892487703
2026-01-26,600362,15600,62.82,979992.0,0.16566552116036665
2026-01-26,000878,39600,24.8154547,982692.00612,0.16612195133633337
2026-01-26,600219,142000,7.1453799,1014643.9458,0.17152335740819089
2026-01-26,600497,92100,10.5263194,969474.01674,0.16388747891275246
2026-01-26,000960,21600,45.51225266,983064.657456,0.16618494723608512
2026-01-26,000831,17000,57.74,981580.0,0.16593396911463837
2026-01-27,600362,15600,60.8,948480.0,0.1657040725176563
2026-01-27,000878,39600,24.0260963,951433.41348,0.16622004822770242
2026-01-27,600219,142000,6.9506829,986996.9718,0.17243317496399962
2026-01-27,600497,92100,10.18868274,938377.6803540001,0.16393914810468257
2026-01-27,000960,21600,44.07231346,951961.9707359999,0.1663123897529617
2026-01-27,000831,17000,55.45,942650.0,0.16468554314141437
2026-01-28,600362,15600,64.32,1003391.9999999999,0.16371858940099007
2026-01-28,000878,39600,26.43363942,1046772.1210319999,0.1707967126303992
2026-01-28,600219,142000,7.64185725,1085143.7295000001,0.1770576212398241
2026-01-28,600497,92100,11.13207929,1025264.502609,0.16728741920411286
2026-01-28,000960,21600,46.42588225,1002799.0566,0.16362184171210817
2026-01-28,000831,17000,56.55,961350.0,0.15685880086809725
2026-01-29,600362,15600,70.47,1099332.0,0.17421678650719155
2026-01-29,000878,39600,29.07799006,1151488.406376,0.18248228002015207
2026-01-29,600219,142000,7.9436376,1127996.5392,0.1787594032109111
2026-01-29,600497,92100,10.83416459,997826.558739,0.15813069805576294
2026-01-29,000960,21600,43.1984145,933085.7531999999,0.14787089019345057
2026-01-29,000831,17000,58.61,996370.0,0.15789986971376294
