factor,ic_mean,rank_ic_mean,ic_ir,observations
close_above_ma_ratio_60,0.0724883318597867,0.06932515013266376,0.2145480649297271,999
ma_alignment_score,0.08258391748076797,0.07372358534159627,0.24951810735925145,1031
ema_alignment_score,0.0910206059086208,0.08313280408077078,0.2731708668362414,1031
volume_cv_20,-0.03564271419035599,-0.023072833599149387,-0.11109394000527638,1026
volume_cv_60,-0.02512244972021472,-0.019103952437285767,-0.08128775736767423,999
amount_cv_20,-0.03442366993882459,-0.02235217673814165,-0.10744715094806617,1026
amount_cv_60,-0.027574822470290403,-0.01929808596475263,-0.08896367624416827,999
turnover_cv_20,0.021473819927731248,0.01631519877133912,0.06577898475656867,1026
turnover_cv_60,0.01948057432946496,0.025740892407559075,0.059666871784053346,999
amount_crowding_20,0.0016334255609878495,0.0052919438285291935,0.0050210422169308655,1025
amount_crowding_60,0.01097304203086045,0.013432926458978563,0.03381433777223679,998
turnover_crowding_20,-0.010582829094294343,-0.009939393939393939,-0.03163726735646302,1025
turnover_crowding_60,-0.010354620835757805,-0.00807675957976559,-0.03164652999304624,998
shrinkage_breakout_20,0.005599220458181072,-0.00370016068091781,0.018319874544541672,275
shrinkage_breakout_60,0.0224139262907379,0.008791800805843327,0.06668420450497259,165
stalled_up_volume_20,0.004322470923540332,0.014973288887321473,0.012499124134308407,1026
stalled_up_volume_60,0.041267480442779,0.04495860028593054,0.1241485502076792,994
low_volume_pullback_20,-0.044553587225864374,-0.036486058875099946,-0.1326595575828395,1026
low_volume_pullback_60,-0.05584409895957892,-0.04505468773991741,-0.16645933398208806,999
volatility_contraction_20,0.005484910690219901,-0.00213829316125767,0.016185260107676,958
volatility_contraction_60,0.0054870666037943275,0.006073258682862024,0.01739965152502325,958
atr_contraction_20_60,0.06784110725333772,0.0564018564018564,0.21388955293869905,999
range_compression_20,0.013139944563159816,0.011271026902289427,0.04100431265087643,998
range_compression_60,0.0,0.0,0.0,0
up_streak,0.008762273918826809,0.005949289074871776,0.026568393802122958,1037
down_streak,0.005781189746578791,0.0030632815736360047,0.017290771456239456,1035
new_high_distance_60,0.09302327868379778,0.07583947583947584,0.26710137114599236,999
new_low_distance_60,0.07659030159087281,0.06783146783146783,0.23475818771785723,999
cs_momentum_rank_20,0.06624161318121456,0.05659343930463773,0.20374142528783296,1018
cs_momentum_rank_60,0.08422787714211176,0.0777220053293673,0.24783334017632075,978
cs_momentum_rank_120,0.07327719461597851,0.06469928038555489,0.22513688989938352,918
